"sequence","visible_label","title","start_line","end_line","entry_state","reader_promise","protagonist_goal","action","resistance_or_cost","turn_or_reveal","paid_reward","state_change_axis","state_change","ending_hook","closed_loops","opened_loops","arc_id","confidence"
"1","대망 001화","버려지다","1","174","가볍게 노크를 한 뒤 혁권이 문을 열고 안으로 들어가자 영업 1부 부장인 이동철이 책상 앞에 앉아 고개를 들어 그를 봤다.","버려지다 — 가볍게 노크를 한 뒤 혁권이 문을 열고 안으로 들어가자 영업 1부 부장인 이동철이 책상 앞에 앉아 고개를 들어 그를 봤다.","자신이 뭔가 이상하다고 그렇게 만류했음에도 불구하고 회장의 셋째 아들인 김인철 이사와 지금 눈앞에 있는 이동철 부장이 우겨서 무리하게 거래를 추진하는 바람에 입은 손해 아니냐고 따져 묻고 싶은 마음이 굴뚝같았다.","가볍게 노크를 한 뒤 혁권이 문을 열고 안으로 들어가자 영업 1부 부장인 이동철이 책상 앞에 앉아 고개를 들어 그를 봤다.","하긴 동네방네 떠들어 댈 만큼 좋은 일도 아니지. 커피값은 더럽게 비싸게 받으면서 담배 하나 마음대로 못 피우고 정말 지랄 같네.","혁권은 손목시계를 확인하고는 고개를 끄덕였다.","인천공항에 도착해 짐을 먼저 부치고 티켓을 발권받아 나오자 누가 그의 등을 가볍게 쳤다.","relationship","인천공항에 도착해 짐을 먼저 부치고 티켓을 발권받아 나오자 누가 그의 등을 가볍게 쳤다.","미소로 마지막 말을 대신한 혁권은 몸을 돌려 출국 심사대로 걸어갔다.","인천공항에 도착해 짐을 먼저 부치고 티켓을 발권받아 나오자 누가 그의 등을 가볍게 쳤다.","미소로 마지막 말을 대신한 혁권은 몸을 돌려 출국 심사대로 걸어갔다.","GA-A01","0.92"
"2","대망 002화","","175","318","트리폴리Tripoli는 아프리카의 석유 부국인 리비아의 수도로 한국과는 상당히 멀리 떨어진 곳이었다.","머리맡에 놔둔 손목시계를 확인한 혁권이 낭패한 얼굴로 몸을 일으켰을 때 반팔 셔츠 차림의 한상수 과장이 욕실에서 나왔다.; 그래서 그런지 시내 중심가에서 34㎞ 남쪽에 있는 트리폴리 국제공항은 곳곳에 전투의 흔적이 남아 있었다.","여기가 트리폴리에서 가장 안전한 곳 중 하나라서야. 오면서 봤는지 모르겠지만 중무장한 사설 경비원들은 물론이고 리비아 현지 경찰이 경비 초소를 세워 놓고 호텔을 24시간 지키고 있거든…","머리맡에 놔둔 손목시계를 확인한 혁권이 낭패한 얼굴로 몸을 일으켰을 때 반팔 셔츠 차림의 한상수 과장이 욕실에서 나왔다.","그래서 그런지 시내 중심가에서 34㎞ 남쪽에 있는 트리폴리 국제공항은 곳곳에 전투의 흔적이 남아 있었다.","가슴을 쿡쿡 찌르는 말에 혁권은 순간 울컥하면서도 그게 현실임을 인정하지 않을 수 없었다.","혁권 — 지사 직원이라고 해봤자. 달랑 혼자뿐인데 사무실은 무슨… 그리고 여기서 제일 싼 방이지만 한 달 숙박료가 3천 달러나 되거든.","money","혁권 — 지사 직원이라고 해봤자. 달랑 혼자뿐인데 사무실은 무슨… 그리고 여기서 제일 싼 방이지만 한 달 숙박료가 3천 달러나 되거든.","이제부터 그가 맡아서 해야 하는 일이었기에 혁권은 한상수 과장을 따라 걸음을 옮기면서 하는 이야기들을 머릿속에 새겨 넣었다.","지사 직원이라고 해봤자. 달랑 혼자뿐인데 사무실은 무슨… 그리고 여기서 제일 싼 방이지만 한 달 숙박료가 3천 달러나 되거든.","이제부터 그가 맡아서 해야 하는 일이었기에 혁권은 한상수 과장을 따라 걸음을 옮기면서 하는 이야기들을 머릿속에 새겨 넣었다.","GA-A01","0.89"
"3","대망 003화","","319","468","기둥을 돌아가자 칸막이를 쳐서 만든 비즈니스 센터가 나왔다.","난 압둘라흐만이라고 합니다. 여기 트리폴리에서 작은 무역회사를 하나 운영하고 있지요.; 한상수 과장의 말처럼 유배자나 마찬가지여서 과연 이걸 누가 관심을 가지고 보기나 할까 의심스러웠지만, 이렇게라도 하지 않으면 자신이 무기력해질 것 같았다.","접속되자 혁권은 한상수 과장이 미리 만들어 놓은 업무 보고서와 자신이 트리폴리에 도착했다는 메일을 써서 보냈다.","난 압둘라흐만이라고 합니다. 여기 트리폴리에서 작은 무역회사를 하나 운영하고 있지요.","한상수 과장의 말처럼 유배자나 마찬가지여서 과연 이걸 누가 관심을 가지고 보기나 할까 의심스러웠지만, 이렇게라도 하지 않으면 자신이 무기력해질 것 같았다.","지도를 보던 그의 눈에 트리폴리와 바로 인접해 붙어 있는 튀니지Tunisia가 들어왔다.","혁권 — 선금으로 절반을 먼저 주고 나머지는 물건이 도착하면 지급해 주겠소. 아, 물론 미국 달러로 말이오.","world","혁권 — 선금으로 절반을 먼저 주고 나머지는 물건이 도착하면 지급해 주겠소. 아, 물론 미국 달러로 말이오.","물론 육로를 이용해서 화물을 다시 트리폴리로 안전하게 가져오는 문제가 남아 있었지만, 이 정도면 충분히 해 볼 만하다는 것이 그의 생각이었다.","선금으로 절반을 먼저 주고 나머지는 물건이 도착하면 지급해 주겠소. 아, 물론 미국 달러로 말이오.","물론 육로를 이용해서 화물을 다시 트리폴리로 안전하게 가져오는 문제가 남아 있었지만, 이 정도면 충분히 해 볼 만하다는 것이 그의 생각이었다.","GA-A01","0.89"
"4","대망 004화","첫 거래","469","626","눈을 반짝이며 화물선 운항 표를 꼼꼼하게 살핀 혁권은 부산항에서 튀니지의 수도인 튀니스Tunis로 가는 배편을 찾아낼 수 있었다.","첫 거래 — 계약서 내용을 천천히 확인해 본 압둘라흐만은 만년필을 꺼내 끝부분에 서명했다.","혁권 — 계획보다 지출이 많아지겠지만 어차피 이번 거래는 수익을 남기기보다는 거래처를 뚫는 것이 목적이었기에 그는 길게 고심하지 않고 주머니에서 지갑을 꺼냈다.","계약서 내용을 천천히 확인해 본 압둘라흐만은 만년필을 꺼내 끝부분에 서명했다.","혁권은 운송 문제로 기존 거래처와 문제가 생겼다는 걸 눈치챌 수 있었지만, 일부러 내색하지 않았다.","많은 걸 내포한 말에 자말은 다 이해할 수는 없었지만 혁권이 단순하게 실적을 올리려고 이번 일을 밀어붙이는 건 아니라는 것을 깨달았다.","원하던 말이 나오자 혁권은 자신도 모르게 나오려는 환호성을 애써 참으면서 침착하게 준비해 온 계약서를 꺼냈다.","money","원하던 말이 나오자 혁권은 자신도 모르게 나오려는 환호성을 애써 참으면서 침착하게 준비해 온 계약서를 꺼냈다.","뒤 일행을 태운 사륜구동차는 거친 엔진음을 울리면서 호텔을 빠져나갔다.","원하던 말이 나오자 혁권은 자신도 모르게 나오려는 환호성을 애써 참으면서 침착하게 준비해 온 계약서를 꺼냈다.","뒤 일행을 태운 사륜구동차는 거친 엔진음을 울리면서 호텔을 빠져나갔다.","GA-A02","0.92"
"5","대망 005화","","627","746","거의 한 달 넘게 호텔 안에서 감옥에 갇힌 것처럼 생활하다가 밖으로 나오자 홀가분한 기분이 들면서도 한편으로 두렵기도 했다.","녹색이라고는 전혀 보이지 않는 건조한 사막에 질린 혁권이 생수병을 꺼내 몇 모금 마셨을 때쯤 운전대를 잡고 있던 하킴이 갑자기 브레이크를 밟으며 차를 멈춰 세웠다.; 왠지 황량한 사막 한복판에 쓸쓸히 죽어 있는 사람들의 모습이 남 일 같지 않게 느껴진 거였다.","먼저 내린 자말이 수염을 텁수룩하게 기르고 지저분한 모자를 눌러쓴 무장 세력 병사에게 담배를 한 개비 건네주고는 자연스럽게 몇 마디 이야기를 나누더니 이내 다시 차로 돌아왔다.","녹색이라고는 전혀 보이지 않는 건조한 사막에 질린 혁권이 생수병을 꺼내 몇 모금 마셨을 때쯤 운전대를 잡고 있던 하킴이 갑자기 브레이크를 밟으며 차를 멈춰 세웠다.","왠지 황량한 사막 한복판에 쓸쓸히 죽어 있는 사람들의 모습이 남 일 같지 않게 느껴진 거였다.","자말이 슬쩍 턱짓으로 가리키는 곳을 보자 다른 이들과 달리 짙은 회색 군복에 군화를 신고 허리에 권총을 찬 젊은 사내가 차 안에 앉아 있는 것이 눈에 들어왔다.","혁권 — 500달러나 되는 관세를 받으면서 따로 뇌물까지 챙기는 것이다.","relationship","혁권 — 500달러나 되는 관세를 받으면서 따로 뇌물까지 챙기는 것이다.","뇌물을 받자 표정이 풀어진 지휘관이 혁권을 보며 말했다.","500달러나 되는 관세를 받으면서 따로 뇌물까지 챙기는 것이다.","뇌물을 받자 표정이 풀어진 지휘관이 혁권을 보며 말했다.","GA-A02","0.89"
"6","대망 006화","","747","895","자말이 눈짓을 하자 혁권은 살짝 고개를 숙이고는 영어로 인사를 했다.","혁권 — 갑작스러운 총격에 미처 피하지 못한 사내는 춤을 추듯 몸을 흔들어 대면서 짐칸에 널브러졌다.; 자신도 무장 강도들한테 당해 목숨을 잃고 황량한 사막에 버려질지도 모른다는 생각에 후회와 불안감이 물밀듯 밀려왔다.","간발의 차이로 벌집이 될 뻔한 걸 피한 혁권은 겁에 질린 운전사가 트럭을 멈추려고 하자 총구를 들이대며 위협했다.","혁권 — 갑작스러운 총격에 미처 피하지 못한 사내는 춤을 추듯 몸을 흔들어 대면서 짐칸에 널브러졌다.","자신도 무장 강도들한테 당해 목숨을 잃고 황량한 사막에 버려질지도 모른다는 생각에 후회와 불안감이 물밀듯 밀려왔다.","끝도 없이 펼쳐진 사막에 어느새 눈이 뻑뻑해지고 긴장이 조금씩 풀려 갈 때쯤 갑자기 무전기에서 자말의 다급한 목소리가 들렸다.","혁권 — 뒈졌으면 독수리들의 밥이 될 테고 운 좋게 살았다면 스스로 도망친 거니까 알아서 살길을 찾겠지요. 강도를 격퇴했지만 언제 또 다른 놈들이 나타날지 모르니, 행여 다시 돌아가자는 말은 하지 마시오.","relationship","혁권 — 뒈졌으면 독수리들의 밥이 될 테고 운 좋게 살았다면 스스로 도망친 거니까 알아서 살길을 찾겠지요. 강도를 격퇴했지만 언제 또 다른 놈들이 나타날지 모르니, 행여 다시 돌아가자는 말은 하지 마시오.","사막에서는 해가 금방 떨어졌는데 지평선에 이글이글 타오르는 듯한 석양이 온 세상을 붉게 물들이는가 싶더니 이내 사방이 칠흑 같은 어둠에 휩싸였다.","뒈졌으면 독수리들의 밥이 될 테고 운 좋게 살았다면 스스로 도망친 거니까 알아서 살길을 찾겠지요. 강도를 격퇴했지만 언제 또 다른 놈들이 나타날지 모르니, 행여 다시 돌아가자는 말은 하지 마시오.","사막에서는 해가 금방 떨어졌는데 지평선에 이글이글 타오르는 듯한 석양이 온 세상을 붉게 물들이는가 싶더니 이내 사방이 칠흑 같은 어둠에 휩싸였다.","GA-A02","0.89"
"7","대망 007화","","896","1044","이런 상황을 예상이라도 한 듯 자말은 트렁크 한쪽에 실어 둔 고체 연료 꺼내 모래를 파서 만든 구덩이에 집어넣고는 모닥불을 피웠다.","도망친 운전사 대신 아미르가 컨테이너 트럭을 몰았는데 다행히 트리폴리에 도착할 때까지 별다른 일이 없었다.; 트리폴리 한복판에서 폭탄 테러와 총격전이 심심치 않게 벌어지는 상황이라 도시에 가깝다고 안심할 수는 없었다.","언제든 권총을 뽑아 들 수 있도록 홀더를 머리맡에 놔두고 가죽 시트 위에 몸을 눕히자 차창 밖으로 먹물을 뿌려 놓은 것처럼 새까만 사막의 밤하늘이 보였다.","도망친 운전사 대신 아미르가 컨테이너 트럭을 몰았는데 다행히 트리폴리에 도착할 때까지 별다른 일이 없었다.","트리폴리 한복판에서 폭탄 테러와 총격전이 심심치 않게 벌어지는 상황이라 도시에 가깝다고 안심할 수는 없었다.","왠지 자신을 무시하는 것 같아 기분이 나빴지만, 사막에 대해 이들보다 모르는 건 사실이었기에 혁권은 더 이상 고집을 부리지 않았다.","그 자리에서 하드케이스를 연 혁권은 달러 뭉치가 한가득 들어 있는 걸 확인하고는 머리를 끄덕였다.","relationship","그 자리에서 하드케이스를 연 혁권은 달러 뭉치가 한가득 들어 있는 걸 확인하고는 머리를 끄덕였다.","암울한 현실에서 그를 끄집어낼 수 있는 마지막 동아줄이었기에 마치 악마가 건네주는 달콤한 마약처럼 위험한 걸 알아도 쉽사리 놓기 어려웠다.","그 자리에서 하드케이스를 연 혁권은 달러 뭉치가 한가득 들어 있는 걸 확인하고는 머리를 끄덕였다.","암울한 현실에서 그를 끄집어낼 수 있는 마지막 동아줄이었기에 마치 악마가 건네주는 달콤한 마약처럼 위험한 걸 알아도 쉽사리 놓기 어려웠다.","GA-A02","0.89"
"8","대망 008화","","1045","1189","아마 압둘라흐만도 이걸 알고 혁권에게 접근했을 거였다.","경비 명목으로 5만 불을 뺐는데 박철종 과장이 무슨 돈이 그렇게 많이 들어갔냐고 투덜거렸으나 사막에서 무장 강도와 싸운 이야기를 해 주자 슬그머니 입을 다물었다.; 처음 견적을 낸 것보다 경비가 다소 늘어났지만…","그렇다고 남은 3만 달러를 혁권이 몰래 꿀꺽하려고 챙긴 건 아니었다.","경비 명목으로 5만 불을 뺐는데 박철종 과장이 무슨 돈이 그렇게 많이 들어갔냐고 투덜거렸으나 사막에서 무장 강도와 싸운 이야기를 해 주자 슬그머니 입을 다물었다.","처음 견적을 낸 것보다 경비가 다소 늘어났지만, 어차피 계열 제약회사에서 재고로 몇 년째 창고에 처박혀 있던 물건을 저렴한 가격에 받아 처리한 거였기에 손해를 본 건 아니었다.","수취인란에 영어로 적혀 있는 자신의 이름을 확인한 혁권은 지갑에서 10달러짜리 지폐 두 장을 꺼내 공항 직원한테 줬다.","혁권 — 사실 수십만 달러 이상의 거래들이 빈번하게 이루어지며 수수료 수입이 짭짤하지 않다면 은행에서도 굳이 위험을 감수하고 이런 내전 지역에 지점을 유지할 이유가 없을 터였다.","money","혁권 — 사실 수십만 달러 이상의 거래들이 빈번하게 이루어지며 수수료 수입이 짭짤하지 않다면 은행에서도 굳이 위험을 감수하고 이런 내전 지역에 지점을 유지할 이유가 없을 터였다.","영업에 필요한 기본적인 물품들이 도착하자 혁권은 금방이라도 주문을 마구 받아 낼 것처럼 의욕에 가득 찼다.","사실 수십만 달러 이상의 거래들이 빈번하게 이루어지며 수수료 수입이 짭짤하지 않다면 은행에서도 굳이 위험을 감수하고 이런 내전 지역에 지점을 유지할 이유가 없을 터였다.","영업에 필요한 기본적인 물품들이 도착하자 혁권은 금방이라도 주문을 마구 받아 낼 것처럼 의욕에 가득 찼다.","GA-A02","0.89"
"9","대망 009화","","1190","1312","상자를 닫은 혁권은 자말과 함께 화물 카트를 밀고 공항 주차장으로 갔다.","사실 자말은 카다피 군 장교로 부하들을 이끌고 벵가지 전투에 참여하기는 했지만, 여자와 어린아이들이 있는 건물에 무차별적인 총격을 가하라는 상부의 지시를 거부해 보직을 박탈당했었다…","혁권 — 그렇다고 신규 거래처를 뚫기도 쉽지 않았는데 그나마 관심을 보이는 곳 태반이 과도한 신용 거래를 요구하거나 이쪽을 등쳐먹으려고 했다.","사실 자말은 카다피 군 장교로 부하들을 이끌고 벵가지 전투에 참여하기는 했지만, 여자와 어린아이들이 있는 건물에 무차별적인 총격을 가하라는 상부의 지시를 거부해 보직을 박탈당했었다.","유혈 진압을 선택한 카다피 정권의 군대가 압도적인 전력으로 공격을 가하면서 훈련과 장비가 빈약한 반군은 연전연패당하며 뒤로 밀려났고 최후의 보루가 된 벵가지는 처참한 전장으로 변했다.","그 순간 혁권은 상대가 태일물산의 이름을 밀수에 이용하려 한다는 걸 알아차릴 수 있었다.","혁권은 자말을 정식으로 고용하며 조금씩 다시 하늘 위로 날아오를 날갯짓을 준비했다.","world","혁권은 자말을 정식으로 고용하며 조금씩 다시 하늘 위로 날아오를 날갯짓을 준비했다.","예전 같으면 단칼에 거절했을 일이었지만 그러지 못하고 혁권은 망설였다.","혁권은 자말을 정식으로 고용하며 조금씩 다시 하늘 위로 날아오를 날갯짓을 준비했다.","예전 같으면 단칼에 거절했을 일이었지만 그러지 못하고 혁권은 망설였다.","GA-A02","0.89"
"10","대망 010화","밀수","1313","1464","본사에서 자신의 존재를 잊지 않게 하기 위해서는 지속적인 실적이 필요했기 때문이었다.","밀수 — 압둘라흐만이 고개를 끄덕이자 혁권은 곧장 한쪽에 내려 둔 가방에서 혹시 몰라 챙겨 온 기본 계약서를 꺼내 능숙하게 필요한 것들을 적어 넣었다.","압둘라흐만이 술을 얼마나 밀수하려는지 몰라도 서너 배의 마진이 붙는다면 최소한 이번 거래가 자신을 속이는 건 아닌 것 같았다.","압둘라흐만이 고개를 끄덕이자 혁권은 곧장 한쪽에 내려 둔 가방에서 혹시 몰라 챙겨 온 기본 계약서를 꺼내 능숙하게 필요한 것들을 적어 넣었다.","역효과가 나서 자존심이 상한 아테네 지사 직원들이 혁권의 일에 사사건건 비협조적으로 나올 수도 있었으나 이미 아웃사이더 취급을 받고 있었기에 상관없었다.","주차장으로 간 두 사람은 미리 렌트해 놓은 차를 타고 아테네 시내에 있는 태일 물산 아테네 지사로 향했다.","혁권 — 술 거래가 돈이 된다는 건 알았지만 그래도 수백만 달러나 되는 운송비를 써 가며 가져올 정도인지 의심이 들었다.","status","혁권 — 술 거래가 돈이 된다는 건 알았지만 그래도 수백만 달러나 되는 운송비를 써 가며 가져올 정도인지 의심이 들었다.","실내를 둘러보며 혁권이 하는 너스레에 홍 지사장은 한쪽에 놓인 소파를 가리키며 말했다.","술 거래가 돈이 된다는 건 알았지만 그래도 수백만 달러나 되는 운송비를 써 가며 가져올 정도인지 의심이 들었다.","실내를 둘러보며 혁권이 하는 너스레에 홍 지사장은 한쪽에 놓인 소파를 가리키며 말했다.","GA-A03","0.92"
