"arc_id","arc_name","start_sequence","end_sequence","start_label","end_label","episode_count","main_characters","main_locations","concrete_premise","central_question","promise","pressure_escalation","mid_turn","concrete_payoff","relationship_change","status_or_ability_change","residual_cost","next_arc_bridge","boundary_signals","confidence"
"S1B-A01","스마트폰 반등과 WTC 생존 준비","147","151","147화","151화","5","김민재·김태중·스티브 잡스·제프 베조스·강 대위","한국 아이폰 매장·태우전자·애플·아마존·뉴욕 세계무역센터","WIPI 철회 뒤 아이폰 흥행을 AI·TV·로봇 동맹으로 키우고 9·11을 말하지 못한 채 WTC를 비워 구조장비를 배치한다","스마트폰 반등을 산업 확장으로 바꾸면서 미래를 누설하지 않고 참사 현장의 생존 가능성도 높일 수 있는가","아이폰 매진·주가 회복·AI와 스마트TV·로봇 공동개발, WTC 보험·리모델링을 한 번에 확보한다","국내 조립비·후발 경쟁·대규모 공동개발비와 설명할 수 없는 WTC 전면 공사 비용이 압박한다","149화 베조스의 로봇 제안부터 제품 반등이 글로벌 생산·부동산 생존 준비로 확대된다","500곳 와이파이망, 애플·아마존 공동개발권, WTC 99년 사용권과 9월 전 입주자 비우기·구조대기","잡스·베조스가 고객·투자 대상에서 태우와 비용·지분을 나누는 장기 기술동맹으로 굳어진다","김민재가 스마트폰 판매자를 넘어 AI·TV·스마트팩토리와 세계 핵심 부동산을 연결하는 설계자로 올라선다","9·11 자체는 막지 못하고 보험·공사·구조 인력의 막대한 선행비용과 실제 구조 책임이 남는다","151화 말 TV의 9·11 속보가 준비 국면을 실제 구조·전쟁·금융 대응으로 전환한다","147화 초도 10만 대 매진으로 WIPI 전선 결산; 149화 목표가 로봇·스마트팩토리로 확장; 150화 장소가 WTC로 교체; 151화 보험·봉쇄 준비 완료와 테러 속보로 상대·압력이 바뀜","0.96"
"S1B-A02","9·11 구호와 카드위기 선점","152","161","152화","161화","10","김민재·강 대위·제프리 힌톤·조지 슐츠·서광수·박동희·다이먼·이영한·고승택·김태중","뉴욕 WTC·캐나다·워싱턴·태우IT·세이월드·명동·CL카드 채권단","WTC 구조와 미국 신뢰를 회수한 뒤 SNS·메신저 인재를 선점하고 명동 유동성을 이용해 카드대란을 앞당긴다","대참사의 생존 보상을 전쟁 편승 없이 지키고 통신 카르텔·카드 부실을 태우의 플랫폼과 금융자산으로 바꿀 수 있는가","WTC 인명 구조·미국시장 방패·AI와 SNS 창업자·CL카드 회수라는 다층 보상을 지급한다","전쟁 열기·KS텔레콤의 강압계약·스마트폰 특허 경쟁·10조 원대 카드 유동성 위기가 동시에 압박한다","156화 세이월드 복수전이 태우IT 신작 개발과 CL카드 유동성 차단이라는 플랫폼·금융 양면전으로 바뀐다","WTC 내부 대규모 사망 방지, 힌톤·마크·임재범·서문영 영입, 삼진 기본앱 계약, CL카드 인수·부채 탕감","미국 정치권은 구조 공로를 진 빚으로 지고 다이먼·이영한은 카드위기 집행자로 복귀하며 빼앗긴 서광수는 태우와 다시 연결된다","태우가 AI·SNS·메신저·스마트폰 특허와 카드업계 1위를 함께 가진 기술금융 복합체가 된다","비행기 탑승자 희생과 미국 전쟁은 남고 인수 뒤 20조 원대 카드채·숨은 부실을 정상화해야 한다","161화 외환카드까지 멈추면서 목표가 CL카드 인수에서 외환은행·월드컵을 포함한 금융 확장으로 넘어간다","152화 테러 준비가 실제 구조 보상으로 전환; 156화 상대가 KS에서 카드 부실로 이중화; 160화 현금서비스 중단으로 위기 상태가 불가역화; 161화 CL카드 계약 뒤 외환은행·카드채가 새 압력으로 교체","0.96"
"S1B-A03","외환은행·월드컵과 AI 인재","162","171","162화","171화","10","김민재·다이먼·이영한·김태중·히딩크·이일석·스티브 잡스·이수현·천민정·강 대위","CL카드·외환은행·CES·월드컵 경기장·태우 AI팀·천민정 가족","카드채를 막고 조작된 BIS를 폭로해 외환은행을 인수하는 동안 월드컵 광고와 천민정 구출·비트코인 개발을 미래 자산으로 묶는다","금융 부실과 권력형 괴롭힘을 자본·증거·보호 약속으로 뒤집어 국민 브랜드와 핵심 인재를 동시에 얻을 수 있는가","카드·은행 지배력, 월드컵 국민 브랜드, 천민정의 안전과 비트코인·AI 역량을 보상한다","20조 원대 카드채·숨은 부실·론스타용 BIS 조작·월드컵 결과 위험·검사 가족의 보복이 압박한다","166화 외환은행 인수와 스마트TV 흥행 뒤 목표가 금융자산에서 천민정이라는 사람의 생존·미래기술로 전환된다","CL카드 정상화와 외환은행 인수, 한국 4강 광고 폭발, 천민정·가족 구출, 비트코인과 개인화 AI 프로젝트 착수","천민정은 구조받은 신입에서 가족 안전과 빚까지 맡길 수 있는 핵심 파트너로, 김태중·다이먼은 금융 회수 공동집행자로 굳어진다","태우가 카드업계 1위·글로벌 결제은행·스마트TV·암호화폐 원천팀과 국민 브랜드를 확보한다","카드채 상환비용과 비트코인 실용성·천민정의 장기 가족부채, AI를 실제 수익으로 바꿀 과제가 남는다","171화 천민정의 코코아톡 개선과 개인화 알고리즘 제안이 SNS·핀테크·관계 진전 국면을 연다","162화 CL카드 소유 뒤 외환은행·월드컵으로 목표 교체; 166화 은행 인수·스마트TV 보상; 167화 상대·장소가 권력형 괴롭힘과 구출 현장으로 전환; 171화 월드컵·가족빚 결산과 개인화 AI 훅","0.96"
"S1B-A04","SNS·핀테크와 정치 방벽","172","181","172화","181화","10","김민재·천민정·김태중·서정준·안상수·서광수·다이먼·일론 머스크·김정빈·KS회장","태우 AI팀·태우IT·부산 데이터센터 후보지·KS 세이월드·미국 페이팔 협상장·검찰","개인화 AI를 SNS·메신저·금융에 붙이고 구태 임원을 치운 뒤 페이팔·머스크·IIT·검찰 수사로 기술과 정치 방벽을 세운다","무료 플랫폼의 비용과 대선 불확실성을 감당하면서 데이터·금융·인재·깨끗한 정치력을 태우 편으로 묶을 수 있는가","개인화 광고·페이스북·코코아톡 금융·페이팔·머스크 동맹·IIT 구상과 경쟁 재벌 수사라는 방벽을 지급한다","거액 데이터센터 비용·기존 임원의 위계·열애설·대선 박빙·재벌 불법자금과 글로벌 투자비가 압박한다","177화 김태중이 천민정을 가족 후보로 받아들인 직후 국내 관계선이 미국 페이팔·머스크 인수전으로 확장된다","세이월드 창업팀 회수와 KS 몰락, 페이팔 20억 달러 인수, 전기차·우주 장기투자, 국민경제당 이전의 독자 정치 필요성 확정","천민정과 민재의 신뢰가 연애 가능성으로 진전되고 김태중이 이를 지지하며 머스크는 피투자자에서 장기 미래산업 동맹이 된다","태우가 SNS 추천·메신저 금융·글로벌 결제망과 검찰·정치 정보를 결합한 플랫폼 권력으로 올라선다","데이터센터와 머스크 투자금이 장기 묶이고 이라크전·대선 후폭풍, 불법자금 수사의 정치적 책임이 남는다","181화 KS 현금차량 증거가 확보되어 깨끗한 태우와 경쟁 재벌의 격차를 공개 처벌·글로벌 브랜드 국면으로 넘긴다","172화 AI가 연구에서 수익엔진으로 목표 전환; 176화 세이월드 복수 인재 회수; 177화 가족관계 보상과 미국 장소 이동; 181화 정치자금 수사 개시로 상대·압력 교체","0.96"
"S1B-A05","합동연설과 글로벌 브랜드","182","191","182화","191화","10","김민재·강 대위·서문영·스티브 잡스·우성일·다이먼·미모안 싱·델핀 아노르·김정빈","KS해운 수사선·WWDC·태우전자·베트남·인도·아노르 협상장","경쟁 재벌 불법자금을 처벌하는 사이 숏폼·비트코인·AI 합동연설을 띄우고 생산증설·인도 IIT·아노르 동맹으로 글로벌 브랜드를 만든다","청렴의 우위를 실제 제품·생산·해외 정치·명품 유통의 장기 가치로 바꿀 수 있는가","KS 복수 결산, 시리·IoT 공개, 해외공장과 IIT 약속, 아노르 명품가문 동맹을 보상한다","검찰 수사 확산·비트코인 무용론·제품 주문 폭증과 생산 부족·인도 정치·문화 장벽과 혼인 압력이 커진다","185화 WWDC 합동연설이 암호화폐 실험을 전 세계 AI·가전·자동차 생태계 공개로 뒤집는다","KS 정치방패 붕괴, 시리·스마트워치 선점, 기록적 가전매출, 인도 10조 투자·IIT 이전 약속, 아노르 신뢰","잡스와는 공동발표·웨어러블 파트너십이 깊어지고 미모안 싱·델핀은 각각 정치·가문 차원의 장기 동맹이 된다","태우가 깨끗한 국내 재벌을 넘어 AI 융합제품·글로벌 생산·명품 프리미엄 유통을 가진 세계 브랜드가 된다","해외공장 증설비·IIT 이전의 국내외 여론비용과 델핀 혼인 기대, 기존 양당 의존 문제가 남는다","191화 불법자금 수사와 해외 신뢰를 결산한 민재가 50명 규모 독자 경제정치 연합을 만들기로 한다","182화 KS 증거로 SNS 복수·수사 결산; 185화 장소·목표가 WWDC 제품 공개로 전환; 187화 품절로 보상이 생산 압력으로 바뀜; 191화 글로벌 동맹 뒤 독자 정당 훅","0.96"
"S1B-A06","가족 보호와 국민경제당","192","201","192화","201화","10","김민재·천민정·김민우·김태중·최재석·델핀 아노르·추가영·강 대위·김익수","학교·학부모 회의·태우 본사·부산 데이터센터 후보지·국민경제당 창당선·CES·판타지TV","천민정의 동생을 권력형 학교폭력에서 지키고 그 보호 약속을 국민경제당·데이터센터·원자재·글로벌 영상 플랫폼이라는 제도적 방벽으로 확장한다","한 가족을 지키는 사적 권력을 깨끗한 정치·산업·플랫폼의 공적 안전망으로 바꿀 수 있는가","가해자 사과·전학, 천민정의 신뢰, 국민경제당 지도부, 자원회사 전환과 글로벌 영상 합작을 보상한다","검사·협력사·학교의 은폐, 탄핵과 양당 분열, 원자재 선점비와 국내 영상서비스의 생존 불안이 압박한다","196화 민우 보호 결산 직후 천민정의 딥러닝·부산 데이터센터·최재석 창당이 가족 방어에서 국가 산업 방어로 확대된다","민우 안전과 가해권력 굴복, 깨끗한 의원 50명 정치연합, 태우상사 자원 선점, 김익수·빅테크·AI 영상팀 결성","천민정은 회사가 가족을 지킨 경험으로 민재에게 절대적 신뢰를 보내고 김태중은 손자의 정치 부담을 직접 나누는 공동보호자가 된다","태우는 직원 가족을 지키는 조직이자 독자 정당·원자재 공급망·글로벌 영상플랫폼을 가진 국가급 세력으로 확장된다","가족 보호에 기업권력을 쓴 선례와 탄핵 정국, 광산·데이터센터·영상플랫폼의 장기비용과 아직 출시 전인 기술 위험이 남는다","201화 합작·AI 팀이 완성되자 슈퍼볼 노출 사고가 개인 영상 시대를 열고 목표가 세 번의 선거·반도체 CEO 영입으로 바뀐다","192화 목표가 글로벌 브랜드에서 민우 생존으로 급전환; 195화 사과·전학으로 가족 루프 결산; 196화 정당·데이터센터로 목표 확대; 201화 플랫폼팀 결성·슈퍼볼 사건으로 상대와 시장 교체","0.97"
"S1B-A07","세 번의 선거와 서브프라임 대비","202","211","202화","211","10","김민재·채드 헐리·스티브 첸·리사 수·천민정·최재석·다이먼·미모안 싱·무함마드 왕자","미국 슈퍼볼·IBM·사우디·국민경제당 행사장·한국 총선 개표장·인도·미국 주택시장","슈퍼볼 바이럴과 영상 창업자를 얻은 뒤 리사 수·남미 리튬·국민경제당 총선·인도 총선을 엮고 서브프라임 붕괴 보험을 미리 쌓는다","미국·한국·인도의 선거와 조직 저항을 뚫어 인재·정치·자원 보상을 얻고 다음 금융위기를 역전판으로 준비할 수 있는가","글로벌 영상 창업팀, 리사 수 CEO, 국민경제당 38석, IIT 거래와 주택하락 파생상품 기반을 지급한다","탄핵 정국·태우 구태문화·총선 박빙·장기 인도투자·NINA 주택광기와 당장 수익 없는 보험비가 압박한다","206화 천민정과 밤샘한 리사 수가 CEO를 수락하면서 개인 영입전이 국민경제당 행사·팹리스·총선 승부로 전환된다","채드·스티브 영입, 리사 수 취임, 남미 리튬 열 곳 이상, 국민경제당 38석 캐스팅보트, 인도 10조 투자와 서브프라임 보험 설계","천민정과 리사 수는 AI·반도체 협업축이 되고 최재석은 지원받는 의원에서 양당을 움직이는 킹메이커가 되며 다이먼은 장기 위기설계자가 된다","태우가 글로벌 영상·반도체 전권 CEO·제3당 정치력·인도 교육거래와 미국 금융위기 포지션을 보유한다","리튬·팹리스·인도투자·보험료가 장기 자금을 묶고 IIT의 국내대학 반발과 보험사 지급불능 위험이 남는다","211화 최재석에게 IIT 한국 캠퍼스를 제안하며 선거 결산이 교육·자율주행·신사옥의 국내 실물 협상으로 넘어간다","202화 슈퍼볼 바이럴·창업자 영입으로 새 시장 진입; 206화 리사 수 취임으로 인재 루프 결산; 209화 38석으로 정치 지위 불가역 변화; 210~211화 장소·목표가 인도·미국주택·IIT로 교체","0.97"
"S1B-A08","IIT·자율주행과 신사옥 쌍부지","212","221","212","221","10","김민재·최재석·천민정·김태중·현대 회장·팅크웨어 창업자·롯데 회장과 두 아들·로만·델핀","IIT 협상장·태우 자율주행팀·팅크웨어·롯데 강남 부지·러시아·한전 부지·국회","IIT·행정기관 이전 합의를 자율주행·태우맵으로 잇고 롯데 승계전과 한러 에너지 사업을 이용해 강남 두 신사옥 부지를 노린다","교육·기술·정치·재벌승계·국가외교를 교환해 조부의 신사옥 꿈과 미래 교통망을 함께 현실화할 수 있는가","IIT 합의, 테슬라 지배력·자율주행팀·태우맵, 롯데 부지 매입선과 한전 이전의 정치 합의를 보상한다","국내대학 반발·팅크웨어 인수 거절·롯데 승계 갈등·수조 원 토지비·공기업 이전 반발과 택시 데이터 카르텔이 압박한다","216화 태우맵 완성 뒤 김태중이 신사옥을 요구하면서 기술 인수전이 롯데 승계·러시아 에너지·한전 이전의 실물자산전으로 확대된다","IIT 20% 한국인·전원취업 합의, 자율주행 50명 팀과 무료 태우맵 10만 이용자, 롯데·한전 두 부지의 매각 가능성 확보","최재석은 교육·이전 정책 동맹으로, 현대는 경쟁사에서 거래 가능한 금융 파트너로 바뀌며 김태중과 민재는 조부의 꿈을 공동 프로젝트로 만든다","태우가 교육 인재공급·테슬라·내비게이션 데이터와 공기업 이전을 움직일 정치외교 역량을 갖는다","롯데·한전 부지는 아직 소유하지 못했고 대규모 매입비와 지역 반발, 택시조합의 데이터 독점이 남는다","221화 태우맵 성공을 막는 택시 호출 카르텔이 신사옥 협상에서 독립된 민생 플랫폼 전선으로 떠오른다","212화 선거에서 IIT·행정분산으로 목표 교체; 215화 인수 거절을 기술권 확보로 반전; 216화 김태중의 신사옥 요구로 장소·보상 확대; 221화 한전 이전 합의·태우맵 10만 뒤 택시 카르텔로 상대 교체","0.96"
"S1B-A09","코코아택시의 착한 독점","222","226","222","226","5","김민재·강 대위·강인운·차봉훈·영신운수 회장·택시기사들","서울 택시조합·강인택시·코코아택시 관제망·파업 거리·검찰과 경찰","호출비를 뜯는 택시 카르텔을 수수료 0% 앱·무료 단말기·직영 택시와 수사 증거로 무너뜨린다","기존 독점보다 기사와 승객에게 이로운 무료 플랫폼이 법적·물리적 보복까지 이기고 시장을 장악할 수 있는가","차봉훈·폭력배 처벌, 서울 택시 80% 편입과 호출비 인하라는 착한 독점 보상을 지급한다","기존 조합의 횡령·닷새 총파업·업체 이탈 방해·조폭 100명 습격과 운영비 전액 부담이 압박한다","224화 총파업이 위기가 아니라 코코아택시 기사의 최고 매출과 군소업체 대이동을 만드는 공개 실증으로 뒤집힌다","차봉훈·영신운수 회장 구속, 조폭 100명 20분 제압, 서울 택시 80%·수수료 0% 호출망 확보","강인운은 이름을 빌리는 조력자에서 전국 모빌리티 운영자로 올라서고 택시기사들은 카르텔 종속자에서 태우 플랫폼 동맹이 된다","태우가 태우맵·호출앱·차량 단말·직영사를 묶은 서울 지배적 모빌리티 사업자가 된다","무료 수수료·단말기 운영비와 전국 확장비, 법보다 사적 전투력에 의존한 위험이 남는다","226화 카르텔 결산과 IIT 승인 뒤 목표가 판교 기공식·롯데와 한전 쌍부지의 실제 매입으로 돌아간다","222화 상대·장소가 택시조합으로 완전 교체; 224화 총파업이 시장진입 보상으로 반전; 225화 70% 편입 뒤 상대가 조폭으로 교체; 226화 80%·구속 결산과 IIT 기공식 훅","0.97"
"S1B-A10","강남 쌍부지와 전투기 외교","227","236","227","236","10","김민재·김태중·롯데 차남과 장남·현대 회장·최재석·공군참모총장·로만·부시·다이먼·일론 머스크","판교 IIT·롯데 강남 부지·한전 부지 입찰장·러시아·공군기지·미국 금융시장·스페이스X·위튜브팀","IIT 기공 뒤 롯데 승계·자동차금융·한전 입찰을 거래하고 러시아 전투기·미국 정치 호의를 써 두 초고층 신사옥 길을 연다","김태중의 꿈인 강남 쌍부지를 낭비 없이 사고 군·정부 규제까지 국제 거래로 해제할 수 있는가","롯데 부지 1조7400억 원·한전 부지 4조 원 낙찰, Su-47와 군 협조, 첫 초고층 허가·위튜브 글로벌 동맹을 지급한다","중국 인허가·롯데 승계전·현대의 입찰가·수조 원 현금·공군 고도제한·미국 승인과 서브프라임·로켓 위험이 압박한다","231화 한전 낙찰로 토지전이 끝나자 목표가 활주로 이전·러시아 전투기·미국 승인이라는 군사외교 허가전으로 바뀐다","두 강남 부지 소유, 현대와 금융협력, 러시아 전투기 세 대와 실제 Su-47, 공군의 두 초고층 무반대, 롯데 부지 건축허가와 위튜브 유통망","김태중은 살아서 신사옥을 지휘하는 가족 보상을 받고 현대·로만·부시는 각자 금융·군사·정치 교환의 장기 동맹으로 결속한다","태우가 강남 두 핵심부지·모빌리티 금융·희귀 전투기·우주 지분·글로벌 영상 유통을 가진 초국가 기업으로 올라선다","한전 부지의 시청 허가는 미완이고 3조 원대 건축비·활주로 이전비·스페이스X·서브프라임 보험의 장기위험이 남는다","236화 위튜브와 첫 초고층 허가를 결산한 뒤 서비스·금융 편중을 벗어나 제조·자원·콘텐츠로 변신하겠다는 선언이 나온다","227화 IIT 기공·롯데 승계로 실물 목표 재진입; 228·231화 두 부지 소유로 불가역 보상; 231화 상대가 공군·러시아로 교체; 234화 군 규제 해제; 236화 허가·위튜브 결산과 산업전환 훅","0.97"
