sequence,visible_label,title,start_line,end_line,entry_state,reader_promise,protagonist_goal,action,resistance_or_cost,turn_or_reveal,paid_reward,state_change_axis,state_change,ending_hook,closed_loops,opened_loops,arc_id,confidence
191,"191화","",46680,46931,"김치냉장고 출시 경쟁이 이미 막바지인 상태","준수의 선출시 함정이 진성전자를 어떻게 무너뜨리는가","대산전자의 양문형 김치냉장고 김장독을 먼저 시장에 박는다","예고한 3월 2일보다 앞선 2월 13일에 오현정 광고와 판매를 동시에 터뜨린다","가족 경영진도 실제 출시일을 몰랐고 진성전자는 선행 개발을 믿고 있었다","진성전자가 모방품을 내기 전에 대산이 전국 광고를 선점한다","진성전자 프로젝트 폐기와 조 이사의 알래스카 좌천 위기를 만든다","기업 경쟁·가족 인정","준수의 기획력이 대산전자 내부의 확신과 경쟁사의 공포로 환전된다","진성그룹 회장이 최진호에게 직접 전화한다","김장독 선출시 함정","진성그룹과 일성그룹의 대산 견제","C01","high"
192,"192화","",46932,47165,"진성전자가 김장독 선점에 패한 직후","패배한 재벌들이 준수의 수를 어떻게 해석하고 다음 판을 짜는가","대산을 경쟁사의 시선 속에서 한 단계 높은 위협으로 만든다","진성의 좌천과 사업 재편, 일성의 백색가전 혁신 지시를 교차시켜 후폭풍을 보여 준다","진성 장남들의 무능과 일성의 압도적 자본력이 동시에 대산을 압박한다","최백호가 판교·에너지·통신 민영화를 새 성장축으로 제시한다","진성과 일성 모두 대산을 무시할 수 없는 경쟁사로 인정한다","사회적 인정·경쟁 구도","김장독 승리가 가전 한 제품을 넘어 재계 전략 수정으로 번진다","일성 회장이 대산과 허준수를 조사한다","진성전자 김치냉장고 프로젝트","통신 민영화와 일성전자 경쟁","C01","high"
193,"193화","",47166,47347,"일성과 진성이 대산의 배후를 찾는 상태","재계의 시선이 준수 개인에게 도달하는 순간","부산행에서 다음 경영자와 동맹 후보를 확보한다","일성 회장의 분석 뒤 새마을호 특실에서 스칼릿과 경쟁사를 논한다","일성은 진성보다 강하고 이동 중 정체불명의 최백호가 접근한다","일성 회장이 대산과 리버마운틴의 중심을 허준수로 특정한다","스칼릿의 분석력을 인정하고 최백호와 직접 협상할 자리를 얻는다","주인공 정체 노출·관계","숨은 설계자였던 준수가 재계 핵심 인물들의 협상 상대로 올라선다","최백호가 진성의 패배를 왜 기뻐하느냐고 묻는다","김장독 승리의 재계 인정","최백호와의 밀약","C01","high"
194,"194화","",47348,47577,"최백호가 열차 안에서 준수의 반응을 떠보는 상태","원수 집안의 사생아와 손잡는 위험한 거래","진성그룹 내부자를 확보해 통신전쟁과 장기 인수전에 대비한다","최백호에게 진성그룹을 주는 대신 진성전자를 받는 밀약을 맺고 증거와 지분 안전장치를 구상한다","백호의 배신 가능성이 높고 스칼릿도 준수의 과신을 경고한다","최백호가 기다리지 않고 진성을 빼앗겠다고 선언한다","진성 내부 정보원과 후계 분열이라는 비대칭 무기를 얻는다","동맹·장기 적대","진성 대 대산 구도가 진성 내부 분열을 이용하는 연합전으로 바뀐다","부산·마산 일정 뒤 이동통신 민영화 전쟁이 열린다","최백호의 접촉 의도","진성전자 양도 밀약과 통신 민영화","C02","high"
195,"195화","",47578,47834,"열차 밀약 뒤 각 세력이 통신 입찰을 준비하는 상태","세계 자본과 가족 경영을 동시에 배치하는 확장전","리버마운틴과 대산의 인재·가족 배치를 재정비한다","진성 회장과 소로스의 계산, 대산의 판교 매입을 훑은 뒤 부산에서 로버트 가족을 만난다","소로스가 대산의 적을 찾고 로버트는 스칼릿의 휴학에 분노한다","소로스가 통신 민영화에서 대산의 경쟁사를 지원하기로 한다","대산의 확장이 국내 재벌뿐 아니라 국제 투기자본의 관심까지 끈다","외부 위협·가족","통신 입찰이 국내 기업전에서 소로스까지 낀 국제전으로 커진다","돼지국밥 자리에서 로버트가 준수를 추궁한다","최백호 열차 접촉","로버트 영입 협상과 소로스 개입","C02","high"
196,"196화","",47835,48064,"로버트가 딸의 진로와 준수를 의심하는 식사 자리","가족 갈등을 최고경영자 영입으로 뒤집는 협상","로버트를 리버마운틴 수장으로 데려와 박종철을 국내에 전념시킨다","스칼릿과 스무 살에 결혼하겠다고 밝히고 로버트에게 두 배 연봉과 2조 달러 조건부 5% 옵션을 제시한다","장인의 불신을 견뎌야 하고 5% 옵션은 초대형 기업가치 달성 전에는 보상이 아니다","로버트가 록펠러 가문보다 그레이 가문을 크게 만들겠다는 약속에 응한다","리버마운틴 경영자와 예비 장인의 인정을 동시에 얻는다","가족·경영 권한","연애 관계가 가족 승인과 글로벌 경영 승계로 환전된다","도쿄에서 김 할매가 곽도원의 제안을 듣는다","로버트와의 식사 갈등","김 할매·곽도원의 성인오락실 사업","C02","high"
197,"197화","",48065,48330,"로버트 영입 직후 김 할매가 국내 복귀를 준비하는 상태","달콤한 연애와 냉정한 정치 설계가 한 회차에서 맞부딪힌다","강철중의 정치 무대를 서울로 옮겨 가족과 장기 권력을 함께 챙긴다","해운대 데이트 뒤 마산에서 강철중에게 종로 출마와 장기 대권을 제안한다","로버트의 전화로 연애 진도가 깨지고 강철중은 지역 기반을 버릴 위험을 진다","강철중이 준수의 종로 이동 구상을 진지하게 받아들인다","넷째 누나와 강철중의 미래를 대통령 프로젝트와 결합한다","연애·가족 정치","준수의 관계 관리가 로맨스에서 국회의원 경로 설계로 확장된다","강철중에게 비자금 폭로 타이밍을 맡길 준비가 된다","로버트 영입","종로 출마와 전 대통령 비자금 카드","C02","high"
198,"198화","",48331,48547,"통신 입찰일이 다가오고 폭로 카드의 타이밍을 잡는 상태","정치 폭로와 기업 상장을 한 판으로 묶는 준비","입찰 직전 비자금 폭로를 배치하고 대산제약 상장 자본을 계산한다","강철중·손광희에게 낙찰일 직전 폭로를 맡기고 강산홀딩스 회의에서 한국·미국 동시상장 구조를 정한다","폭로는 강철중의 의원직을 걸어야 하고 39% 공모는 지배력 희석 비용을 만든다","박종철은 리버마운틴에서 빠지고 강산홀딩스에만 전념한다","가족 경영 분업과 1천억 달러급 제약 상장 청사진이 확정된다","정치 일정·자본 조달","예지 능력이 폭로 시점과 상장 구조라는 실행 가능한 일정표로 바뀐다","준수가 미국 정치 인맥을 위한 400만 달러 기부를 지시한다","강철중 종로 구상","비자금 폭로 D데이와 대산제약 동시상장","C02","high"
199,"199화","",48548,48784,"통신 입찰 사흘 전 강산의 운영 역량이 부족한 상태","기부·정치 인맥과 통신 컨소시엄을 동시에 만드는 수","오바마 계열 인맥과 세계통신의 사업 기반을 선점한다","시카고에 400만 달러를 기부하고 세계그룹 지분·부채 실사를 명령하며 세계통신 인수를 검토한다","기부는 즉시 보상이 없고 세계통신은 철강 부실과 지배구조 위험을 안고 있다","김 실장이 이미 세계 측과 접촉한 사실이 드러난다","미국 정치권의 미래 연결선과 국내 통신 운영 자산을 함께 잡을 기회를 만든다","정치 인맥·사업 기반","돈이 기부 명단과 컨소시엄 협상권으로 환전된다","로버트의 미국 복귀 일정과 세계통신 협상안이 남는다","대산제약 상장 역할 분담","오바마 후원과 세계통신 인수","C02","high"
200,"200화","",48785,48976,"세계통신 협상을 준비하는 사이 진성 인사가 흔들리는 상태","한미 양쪽에서 가족을 권력망에 올리는 설계","스칼릿의 어머니를 LA 한인회 정치 기반으로 세운다","진성 사장단의 형제 갈등과 가리봉동 카페의 제안을 교차시키며 캘리포니아 주지사 경로를 설명한다","미국 기반이 없는 가족에게 선거 조직을 새로 만들어야 하고 진성에서는 최백호의 등장이 갈등을 폭발시킨다","스칼릿이 준수의 LA 폭동 영웅 이미지를 선거 자산으로 제시한다","예비 처가가 리버마운틴의 미국 정치 네트워크로 편입된다","가족·정치 자산","준수의 사회적 명성이 장모 후보의 선거 가능성으로 환전된다","진성 회장이 최백호를 앉히고 인사를 발표하려 한다","LA 정치 진출 구상","진성그룹 인사 폭탄","C02","high"
201,"201화","",48977,49200,"스칼릿이 LA 한인회 선거 가능성을 설명한 직후","과거 경력과 현재 자본을 권력 경로로 바꾸는 보상","스칼릿 어머니의 한인회장·주지사 경로를 확정하고 진성 분열을 심화시킨다","베트남 참전 간호장교 경력과 시민권을 선거 서사로 만들고 전용기 지원을 약속한다","가족을 정치에 노출시키는 비용과 최백호의 어린 시절 원한이 격렬하다","최백호가 공개석상에서 형들을 처음 형님이라 부르며 후계 전쟁에 입장한다","예비 장모의 출마 동의와 진성 내부의 감정적 균열을 얻는다","가족 인정·후계 갈등","개인 경력이 미국 정치 자산이 되고 사생아의 상처가 기업 전쟁 동력으로 변한다","진성 회장의 계열사 인사 발표","스칼릿 어머니의 출마 동의","최백호의 계열사 배치","C02","high"
