sequence,visible_label,arc_id,arc_phase,concrete_event,tension_1_10,reward_1_10,hook_1_10,information_weight,action_weight,relationship_weight,emotion_weight,material_or_status_weight,pacing_note
191,"191화","C01","선행 Arc 보상","김장독 광고를 2월 13일 기습 송출해 진성전자의 출시 계획을 폐기시킨다",8,9,8,3,5,3,3,5,"선출시 한 방과 경쟁사 패닉이 즉시 맞물린 고속 보상"
192,"192화","C01","후폭풍","진성은 조 이사를 좌천하고 일성은 대산을 새 경쟁자로 규정한다",6,7,7,5,2,2,2,5,"여러 회장실 반응으로 한 제품 승리의 재계 규모를 확장"
193,"193화","C01","브리지","일성 회장이 준수를 핵심으로 특정하고 열차에 최백호가 나타난다",6,7,9,5,2,4,3,4,"사회적 인정 지급 뒤 비밀동맹 훅으로 빠르게 전환"
194,"194화","C02","진입","최백호가 진성을 넘기고 진성전자를 주겠다는 밀약을 맺는다",8,7,8,4,2,5,4,5,"배신 가능성이 큰 동맹 계약으로 새 전쟁의 긴장을 세움"
195,"195화","C02","판 확대","소로스가 통신전에 개입하고 부산 가족 식사에서 로버트가 격노한다",6,4,7,5,2,4,4,3,"국제자본 위협과 처가 갈등을 교차해 압박을 넓힘"
196,"196화","C02","인재 보상","준수가 로버트에게 5% 옵션을 주고 리버마운틴 경영을 맡긴다",6,9,7,4,2,5,4,5,"결혼 약속과 최고경영자 영입을 한 협상으로 지급"
197,"197화","C02","관계·정치 빌드","해운대 데이트가 깨진 뒤 강철중에게 종로와 대권 경로를 제안한다",4,6,7,3,2,5,5,3,"코믹한 로맨스 완급 뒤 장기 정치 포석으로 끝냄"
198,"198화","C02","계획 고정","비자금 폭로 D데이와 대산제약 한미 동시상장 구조를 확정한다",6,7,7,5,2,4,3,5,"정치와 금융의 복수 일정표를 촘촘히 쌓는 정보 밀집 회차"
199,"199화","C02","자원 축적","오바마 관련 400만 달러 기부와 세계통신 실사를 동시에 지시한다",5,6,7,5,2,3,2,5,"정치 인맥과 통신 운영자산을 병렬로 준비하는 확장 비트"
200,"200화","C02","가족 정치","스칼릿 어머니의 LA 한인회장·주지사 경로와 진성 인사를 교차한다",5,6,8,4,2,5,3,3,"처가 상승 약속과 적가문 균열을 대비해 관계 무게를 높임"
