sequence,visible_label,arc_id,arc_phase,concrete_event,tension_1_10,reward_1_10,hook_1_10,information_weight,action_weight,relationship_weight,emotion_weight,material_or_status_weight,pacing_note
96,"96화","B01","climax","허상도가 청문회에서 1,000억 원 전액 국고 귀속을 선언한 뒤 체포된다",9,8,8,4,3,4,5,5,"거액 공개 보상 직후 수감 비용을 붙여 승리를 유예한다"
97,"97화","B01","reversal","전두완의 요구로 허상도가 특사에서 빠지고 준수가 500억 달러 응징을 맹세한다",8,3,9,4,2,3,5,4,"사면 기대를 즉시 뒤집어 장기 복수 엔진을 건다"
98,"98화","B01","setup","출소한 김 실장을 숙부로 영입하고 허상도에게 생모와의 결별을 부탁한다",6,6,7,3,2,5,5,2,"정치 후폭풍을 가족 정리와 충성 조직 구성으로 낮춰 잇는다"
99,"99화","B01","commitment","허상도가 생모를 놓고 준수는 1,000일 안 출소와 자본 복수를 약속한다",6,7,8,3,1,5,5,4,"정서적 결별을 수치화된 장기 목표로 고정한다"
100,"100화","B01","complication","생모의 교통사고가 우발로 판명되지만 운전자가 죽고 태아 보호 문제가 생긴다",8,4,8,3,3,5,5,2,"복수 Arc 끝에 신체 위기를 끼워 다음 가족 Arc로 급전환한다"
101,"101화","B02","entry","준수가 사고 유족을 지원하고 수상한 경호원 장우혁의 전력을 시험한다",7,5,8,3,3,4,3,2,"조사·선행·신규 인물 미스터리를 한 화에 압축한다"
102,"102화","B02","reveal","생모가 제비를 사랑하고 임신·낙태를 고민했다는 사실을 고백한다",7,7,8,4,1,5,5,1,"액션을 멈추고 모자의 상처와 선택을 전면에 둔다"
103,"103화","B02","escalation","준수가 카바레를 비우고 한남철에게 뜨거운 커피를 들이부으며 대면한다",8,5,9,2,5,3,4,3,"경제 지원에서 곧바로 폐쇄 공간의 폭력 대치로 속도를 높인다"
104,"104화","B02","crisis","어린 몸으로 한남철과 싸우다 치명타 직전에 장우혁이 개입한다",9,7,8,2,5,4,4,2,"만능 무술에 체격 비용을 부과해 실전 긴장을 확보한다"
105,"105화","B02","payoff_bridge","장우혁이 준수의 손발이 되고 대산전자는 말하는 쿠쿠 출시를 이어 간다",6,8,7,4,2,4,3,5,"가족 액션 보상 뒤 곧바로 기술 과제로 장르 표면을 교체한다"
106,"106화","B03","setup","대산전자가 고액 인재를 모으고 준수는 김영준 면담과 제약 지분을 준비한다",5,6,7,5,1,3,2,5,"인재·지분·정치 약속을 다음 협상의 자원으로 쌓는다"
107,"107화","B03","negotiation","신약의 발기 부작용을 전환하고 김영준에게 3당 합당·대통령 경로를 예언한다",7,7,8,5,1,3,3,5,"두 실패 가능성을 미래지식으로 동시에 기회화한다"
108,"108화","B03","payoff","100만 권 구매 거래로 사면 약속을 얻고 발기부전 신약 개발을 확정한다",6,8,6,4,1,3,3,5,"합법 정치자금과 특허 선점이라는 이중 보상을 지급한다"
109,"109화","B03","bridge","혜원 출산·한남철 거부·하버드 인맥 형성을 한꺼번에 시간 점프 후 확인한다",5,6,8,5,1,5,4,3,"3년 경과를 가족 보고와 미국 인맥 장면으로 빠르게 소화한다"
110,"110화","B04","test","준수가 20분 논문 검증을 자청하고 장두칠의 강정우 부양 사연이 제시된다",7,4,9,5,1,3,3,3,"지적 시험과 사회적 채무를 병렬 배치해 두 갈래 후킹을 만든다"
111,"111화","B04","payoff","17분 만에 논문을 증명해 조기 졸업하고 김 할매는 일본 자산 폭락을 감당한다",5,8,6,4,1,2,3,5,"천재 보상과 투자 실패를 대비해 성취의 질감을 바꾼다"
112,"112화","B04","expansion","20억 달러를 롱·숏·엔젤·스포츠·닷컴으로 나누고 공식 매니저가 된다",5,8,7,5,1,2,2,5,"설명 비중이 높지만 자본 배분 자체가 연속 보상으로 기능한다"
113,"113화","B04","delegation","찰리에게 결제사를 맡기고 제프 베조스를 전자상거래 CEO 후보로 받는다",5,7,8,4,1,4,2,5,"지분을 내주는 비용으로 새 회사 두 개를 빠르게 세운다"
114,"114화","B04","crossroads","베조스 조건을 승인하고 김영준 승리·강철중 이탈·대한석유 소문을 확인한다",5,5,8,5,1,4,2,4,"사업과 정치를 교차 편집해 다음 두 전선을 동시에 연다"
115,"115화","B04","recruitment_payoff","보라스를 스포츠사 CEO로 세우고 20% 옵션과 알렉스 로드리게스 목표를 준다",5,8,7,3,1,4,3,5,"인재 발견을 즉시 직책·지분·구체 선수로 보상한다"
