sequence,visible_label,arc_id,arc_phase,concrete_event,tension_1_10,reward_1_10,hook_1_10,information_weight,action_weight,relationship_weight,emotion_weight,material_or_status_weight,pacing_note
"1","1화","A01","발단","문재수 사망과 녹음기 분실 속 김동진이 허상도 수사를 계속한다.","8","2","8","5","3","2","4","2","수사 정보와 상관 압박을 빠르게 겹쳐 첫 위기를 세운다."
"2","2화","A01","상승","차광철이 아버지 자살을 들먹이며 수사 중단을 강요한다.","8","2","8","4","2","4","4","2","개인 원한과 조직 압박을 결합해 저항 비용을 높인다."
"3","3화","A01","전환","김동진이 지검장실 녹음을 공개해 차광철을 역협박한다.","8","6","9","4","4","4","3","4","첫 반격 직후 허상도의 제거 명령으로 보상을 즉시 위협한다."
"4","4화","A01","위기","조 기자의 배신 기사와 대검 감찰 체포가 연달아 닥친다.","9","1","9","4","4","3","5","1","언론과 공권력의 이중 역공으로 하강 속도가 가장 가파르다."
"5","5화","A01","절정","허상도에게 투항을 연기한 김동진이 트럭에 치여 죽는다.","10","2","10","3","5","3","5","1","생존 협상 실패를 죽음과 회귀 훅으로 폭발시킨다."
"6","6화","A02","발단","어린 몸으로 창고에 깨어나 차태범의 자살을 목격한다.","9","2","9","5","3","2","5","1","정체 미스터리와 즉각 생존 위기를 한 장면에 건다."
"7","7화","A02","위기","결박된 몸으로 문까지 기어간 끝에 허상도에게 구조된다.","9","6","8","2","5","3","5","2","신체 행동 비중이 높고 구조 보상 뒤 가족 정체 훅을 남긴다."
"8","8화","A02","발견","1986년 달력과 젊은 허상도, 대가족을 확인한다.","6","5","9","5","2","3","4","3","행동을 낮추고 시간·가계 정보 공개에 집중한다."
"9","9화","A02","전환","거울로 허준수 몸을 확인하고 선악의 저울을 처음 본다.","7","8","9","5","2","3","5","4","정체 확정과 핵심 능력 개방을 같은 보상점에 둔다."
"10","10화","A02","상승","허상도의 차광철 집안 보복·검사 육성 계획을 듣는다.","7","3","8","5","2","4","3","3","미래 악연의 생성 과정을 정보 중심으로 압축한다."
"11","11화","A02","관계전환","허상도를 아버지로 받아들이고 차보희의 저울을 확인한다.","5","6","7","3","1","5","5","2","가족 호칭의 감정 무게로 액션 뒤 호흡을 조절한다."
"12","12화","A02","연결","집안 사랑의 중심이 되고 김동철 양조장 위기를 떠올린다.","5","5","8","5","1","4","4","3","새 가족 정착과 전생 가족 구제 훅을 교차한다."
"13","13화","A03","발단","순댓국 여덟 그릇으로 집안 반응을 시험한 뒤 독대를 청한다.","4","6","7","2","2","5","3","3","생활 장면을 권력 테스트로 바꿔 가볍게 출발한다."
"14","14화","A03","상승","허상도를 설득해 차태범 유족 사과·배상을 약속받는다.","7","7","8","4","2","5","4","4","어린 말의 힘이 실제 의사결정 보상으로 바로 연결된다."
"15","15화","A03","절정","허상도가 장례식에서 무릎 꿇고 5억 원을 제시한다.","8","9","8","3","4","5","5","5","대형 굴욕·배상 장면으로 가족 개입의 효능을 시각화한다."
"16","16화","A03","보상","차광철이 진심으로 사과하고 허준수는 비밀 후원을 결정한다.","6","8","8","3","2","5","5","4","복수 폐쇄 뒤 미래 법조 인재라는 다음 장기 보상을 연다."
"17","17화","A04","발단","한 달 동안 다국어 신동 이미지를 만들고 일본 버블을 목표로 잡는다.","4","7","7","5","1","3","3","4","시간 점프로 능력 인정과 새 경제 목표를 신속히 세운다."
"18","18화","A04","상승","선악의 저울로 박 비서의 충성 근거를 시험한다.","5","6","8","4","1","5","3","3","능력 사용을 사람 검증으로 변주해 반복을 피한다."
"19","19화","A04","전환","정신과 의사와 연꽃 선녀가 정상적인 천재로 판정한다.","7","8","7","4","1","4","5","4","빙의 발각 긴장 뒤 가족 공인이라는 관계 보상을 준다."
"20","20화","A04","보상","조기 서울대·사법시험 시간표와 일본 투자 목표를 선언한다.","5","7","8","4","1","4","3","5","천재 판정을 구체적 다음 과제 두 개로 환전한다."
"21","21화","A05","발단","일혜재단이 10억 원을 요구해 허상도의 정치 후원이 부채로 드러난다.","7","2","7","5","1","4","3","5","돈과 권력의 압박을 새 협상 과제로 제시한다."
"22","22화","A05","상승","화무십일홍으로 5공 쇠퇴를 설득해 아버지의 귀를 연다.","6","6","7","4","1","5","3","4","역사 통찰을 부자 참모 관계의 첫 실적처럼 쓴다."
"23","23화","A05","전환","최달수 직거래·재단 감액안을 내고 자산 규모를 묻는다.","6","7","8","5","2","4","2","5","정치 문제를 투자 자금 협상으로 자연스럽게 전환한다."
"24","24화","A05","보상","플라자합의를 설명하고 자기 명의 20억 원 계좌를 받는다.","6","9","8","5","1","5","4","5","설명 능력이 독립 자본으로 환전되는 명확한 대형 보상이다."
"25","25화","A06","발단","박 비서를 집행자로 고르고 동대문에서 엔화를 구한다.","5","7","7","4","2","5","3","5","투자 실행과 사람 쓰는 법을 함께 시작한다."
"26","26화","A06","상승","큰어머니와 누나들을 같은 식탁에 앉히지만 유치원 면제는 거절당한다.","5","7","7","2","2","5","5","3","가족 보상과 주인공 특권의 제동을 균형 있게 배치한다."
"27","27화","A06","전환","자신이 검사가 되겠다고 해 누나의 정략혼을 취소시킨다.","6","8","7","3","2","5","4","4","학업 목표를 가족 보상으로 바꿔 관계 축을 강화한다."
"28","28화","A06","보상","김 실장과 박 비서까지 가족 식탁에 앉힌다.","4","7","6","2","1","5","4","3","조용한 생활 장면으로 핵심 인력 충성도를 높인다."
"29","29화","A06","상승","허상도가 두 노씨와 거리를 두고 일본 계획을 비밀 지원한다.","6","7","8","4","2","4","3","5","정치 단절과 해외 투자 승인으로 판을 외부로 확장한다."
"30","30화","A06","절정","허상도가 사채를 회수·축소하고 일본 투자에 합류한다.","7","8","7","4","3","4","3","5","아들 계획이 아버지 업종 전환까지 일으키며 Arc를 닫는다."
"31","31화","A07","발단","안기부 장세중을 통한 일본 현지법인·외환 통로를 설계한다.","7","4","8","5","2","4","3","4","제도 장벽과 권력 비용을 정보 중심으로 세운다."
"32","32화","A07","보상","일혜재단 지원을 대가로 외환 승인을 받고 장세중 5억도 유치한다.","7","8","8","4","2","4","2","5","통로 확보 보상과 공범 위험을 동시에 남긴다."
"33","33화","A08","절정","전수성의 목을 치고 넘어뜨려 유치원 서열을 뒤집는다.","8","8","8","2","5","4","3","4","짧은 신체 액션으로 경제·정치 회차 사이 속도를 높인다."
"34","34화","A08","보상","허상도가 먼저 사과하고 머리로 이기라고 가르친다.","6","7","8","3","2","5","4","4","싸움 보상을 절제 수업과 전갑수 인맥 훅으로 바꾼다."
"35","35화","A09","발단","만 12세 미만 검정고시 제한을 확인한다.","5","3","8","5","1","2","3","3","돈으로 못 푸는 제도 벽을 선명하게 제시한다."
"36","36화","A09","상승","일본·미국 유학과 식혜·제약 단계 사업을 구상한다.","4","6","8","5","1","2","2","5","실패한 학업 루트를 산업 로드맵으로 넓힌다."
"37","37화","A09","전환","디즈니랜드 떼쓰기와 눈물로 일본 여행 명분을 만든다.","6","7","8","2","3","5","5","3","논리형 천재가 감정·아이 연기로 과제를 푸는 변주다."
"38","38화","A09","상승","전두완이 200억 투자를 검토하고 김동철은 도박 빚에 빠진다.","8","4","9","5","2","3","5","5","자본 인정과 전생 가족 추락을 병치해 보상을 불안하게 만든다."
"39","39화","A09","절정","박 비서·허소망과 도쿄행을 확정하고 혼인 가능성이 드러난다.","6","7","8","3","2","5","4","4","동행자 결정이 유학과 가족 결속을 한 번에 움직인다."
"40","40화","A09","보상","박 비서가 허상도보다 허준수를 택해 평생 보좌를 맹세한다.","7","9","8","3","2","5","5","5","독립 인재 확보라는 강한 관계 보상으로 마무리한다."
"41","41화","A10","발단","안기부 특례로 이틀 안 일본 비자와 거처를 준비한다.","7","5","7","4","2","4","3","4","빠른 실행 뒤 정치적 빚을 비용으로 붙인다."
"42","42화","A10","상승","장세중 감시와 전두완 호출 속에서 혈관확장제 사업을 떠올린다.","8","4","8","5","1","3","3","4","외부 압박과 새 산업 아이디어를 병렬로 끌고 간다."
"43","43화","A10","상승","유치원을 인맥 광산으로 보고 전수성의 아버지 전공을 확인한다.","4","6","7","4","1","5","2","3","전투로 얻은 서열을 정보 채굴 보상으로 재사용한다."
"44","44화","A10","상승","책·교수 추천서 계획과 첫째 매형의 상속 적의가 동시에 열린다.","7","5","8","5","1","5","4","4","공적 인정 상승과 가족 내부 위험을 교차한다."
"45","45화","A10","전환","허귀남이 남편의 속셈을 간파하고 막둥이 편에 선다.","7","7","7","4","1","5","4","3","내부 적 발견 뒤 누나 보호라는 즉시 관계 보상을 준다."
"46","46화","A10","위기","전두완 200억 비자금과 신도시 내부정보를 엿듣는다.","9","3","9","5","2","4","4","5","투자 기회가 형사 책임으로 뒤집히는 대형 위험 상승점이다."
"47","47화","A10","전환","남서울을 피하고 부천을 고르며 김동철의 사채 계약을 확인한다.","8","5","8","5","2","3","5","5","합법 선택과 전생 가족 위기를 같은 판단 축에 묶는다."
"48","48화","A10","보상","비자금을 불린 뒤 양심선언하기로 약속해 허상도 저울을 50:50으로 돌린다.","8","9","9","4","2","5","5","5","도덕 수치 회복이라는 능력·관계 보상이 가장 뚜렷하다."
"49","49화","A11","발단","강철중 정치 입문과 부천 중동·상동 투자 논리를 함께 세운다.","6","5","7","5","1","5","3","5","정치 방패와 자본 방패를 쌍으로 시작한다."
"50","50화","A11","상승","둘째 매형의 휴대전화·카메라 상상력을 발견한다.","4","6","7","4","1","5","2","4","가족 인재 발견으로 기업 확장 훅을 가볍게 심는다."
"51","51화","A11","전환","그린벨트 욕심을 제한하고 부천 일대 최대 매입을 지시한다.","6","8","7","4","2","4","2","5","내부정보를 버린 비용 뒤 합법 자산 확보 보상을 준다."
"52","52화","A11","상승","사채 회수·철수와 김동철 양조장 식혜 전환을 설계한다.","7","6","8","5","2","4","4","5","자금 조달의 피해 비용을 사업 구제로 상쇄한다."
"53","53화","A11","절정","강철중에게 200억 비자금과 청문회 방패 역할을 공개한다.","8","5","9","5","2","5","5","5","가족 비밀 공개로 정치 설득의 위험을 최고조로 올린다."
"54","54화","A11","보상","강철중이 김영준 진영에 들어가 정치인이 되기로 한다.","6","9","8","3","2","5","4","5","민주화 명분과 가족 보호를 동시에 얻는 관계 보상이다."
"55","55화","A12","발단","식혜·건강음료·혈관확장제·반도체 순서의 사업 로드맵을 짠다.","4","6","7","5","1","3","2","5","새 Arc를 산업 포트폴리오 정보로 빠르게 연다."
"56","56화","A12","상승","전두완이 허상도에게 비자금을 맡기고 남서울 정보를 흘린다.","9","4","9","5","2","4","3","5","자본 규모 상승과 형사 위험을 한꺼번에 증폭한다."
"57","57화","A12","감정전환","김동철 양조장을 차 안에서 보고 구제를 약속한 뒤 출국한다.","6","5","8","2","2","4","5","3","큰 사건 사이에 전생 부친을 향한 억제된 감정을 배치한다."
"58","58화","A12","절벽","국제전화로 귀국을 거부하고 일본·미국·하버드 계획을 통보한다.","9","8","10","3","3","5","5","4","독립 선언 직후 허상도 추격을 걸어 강한 연속 훅을 만든다."
"59","59화","A13","발단","도쿄에서 박 비서를 한국으로 보내 양조장·전갑수 두 라인을 가동한다.","7","5","8","5","2","4","4","5","추격 긴장 속 원격 경영과 김동철 진실을 동시에 연다."
"60","60화","A13","상승","9대1 합작·식혜 특허·도쿄 용지 거래를 설계한다.","6","7","8","5","2","3","4","5","감정 구제를 계약 구조로 바꾸며 경영 능력을 부각한다."
"61","61화","A13","대면","허상도에게 발각되지만 수학 1등을 유학 협상 조건으로 건다.","9","6","8","2","3","5","5","4","추격의 절정을 시험 내기로 전환하고 한국 계약을 교차한다."
"62","62화","A13","보상","김동철이 9대1 계약에 도장을 찍고 미소식품이 출범 준비에 들어간다.","7","8","8","4","2","5","4","5","가혹한 통제 비용 뒤 첫 기업 소유권을 지급한다."
"63","63화","A13","상승","아이 연기로 허상도 분노를 풀고 숫자 협상 기회를 얻는다.","7","6","8","3","2","5","5","3","귀여움과 데이터 설득을 섞어 가족 갈등의 결을 바꾼다."
"64","64화","A13","상승","박 비서가 전갑수를 일본 신약 연구소로 영입한다.","6","8","7","4","1","5","4","5","유치원 인맥이 핵심 연구 인재로 환전되는 중형 보상이다."
"65","65화","A13","내기","100·110% 담보대출 예측을 걸고 일본 잔류를 협상한다.","8","5","9","5","1","5","3","5","귀국 여부를 미래 지식의 정확성에 걸어 긴장을 고정한다."
"66","66화","A13","보상","내기가 성립하고 장재호가 미소식품 직원 월급과 전환을 발표한다.","6","9","7","3","2","5","4","5","독립권과 첫 사업체라는 이중 보상을 제공한다."
"67","67화","A13","절정","박 비서가 허소망과 혼인해 허준수의 여섯째 매형이 된다.","8","9","9","3","3","5","5","4","처벌 공포를 가족 결속으로 뒤집고 한 달 시간점프로 닫는다."
"68","68화","A14","발단","박종철 고문치사 소식에 강철중의 거리 돌출을 조직적으로 막는다.","9","4","8","5","2","5","5","3","역사적 위기와 가족 정치 보호를 중심으로 새 국면을 연다."
"69","69화","A14","상승","미소식품 현금흐름과 혈관확장제 계획을 허상도에게 설명한다.","5","7","8","5","1","5","3","5","산업 설명이 아버지 후광 협상으로 이어진다."
"70","70화","A14","전환","누나 7%·큰어머니 13% 지분을 문서로 약속한다.","7","9","7","3","1","5","5","5","가족 희생 채무를 기업 소유 보상으로 갚는다."
"71","71화","A14","보상","전갑수를 3%에 계약하고 110% 대출 내기까지 이긴다.","7","10","8","4","2","5","4","5","인재·독립·투자 예측 세 보상을 한 회차에 집중한다."
"72","72화","A14","상승","3억 엔을 65억 엔 자산으로 불리고 김 할매 자금을 노린다.","6","9","8","5","1","4","2","5","폭발적 숫자 보상 뒤 깡통 위험과 외부자금 훅을 붙인다."
"73","73화","A14","보상","수학대회 1등을 확인하고 허상도에게 보육원·양로원 건립을 시킨다.","5","9","8","4","1","5","4","5","학업 성과를 공익 평판과 인재망으로 환전한다."
"74","74화","A15","발단","박 비서 의존 위험을 점검하고 나카타·둘째 매형을 다음 인재로 고른다.","5","6","8","5","1","5","3","4","사람 확장과 전자사업 훅을 동시에 준비한다."
"75","75화","A15","상승","하버드 가능성 10% 미만 판정 뒤 사시·두 권의 책·추천서를 추진한다.","6","7","8","5","1","4","3","5","수학 하나 대신 복수 증빙을 조합해 능력 반복을 피한다."
"76","76화","A15","덫준비","외환 특별단속으로 김 할매를 고립시킨 뒤 직접 찾아간다.","8","5","9","5","2","4","3","5","불법 비용과 악인 응징 명분을 팽팽하게 맞춘다."
"77","77화","A15","대면","금융실명제 대신 1일 10% 수익으로 김 할매 욕심을 자극한다.","8","6","9","4","2","5","3","5","협박 실패 뒤 즉시 욕망 자극으로 전술을 바꾼다."
"78","78화","A15","보상","30억 엔 통장을 보여 20% 수수료를 받고 김 할매를 버블에 태운다.","8","9","8","4","2","5","4","5","큰손 굴복 직후 하버드 첫 탈락을 넣어 승리를 완충한다."
"79","79화","A16","발단","사시 시험장으로 가며 빅 보스 비전과 베스트셀러 소식을 듣는다.","6","7","8","4","2","5","3","5","법·출판·투자 정체성을 한 이동 장면에 묶는다."
"80","80화","A16","시험","연령 제한이 없다는 법리로 입구를 통과해 1차 시험을 치른다.","8","8","9","3","4","3","3","5","제도 마찰을 짧게 해결한 뒤 시험 행동과 수석 예감으로 속도를 낸다."
"81","81화","A16","복잡화","법무부가 만점 답안과 제도 변경을 논의하고 허상도는 검정고시를 결심한다.","7","6","8","5","1","4","4","4","성과의 파장을 개인·가족·국가 세 층으로 확장한다."
"82","82화","A16","전환","노태식이 홍보 활용을 제안하고 둘째 매형이 SS전자 합작을 수락한다.","6","8","8","4","2","5","3","5","불편한 국가 관심을 기업 신뢰와 대중 이슈로 뒤집는다."
"83","83화","A16","보상","KBC 인터뷰로 신동 이미지를 만들고 강철중에게 대권 경로를 심는다.","6","9","8","4","1","5","4","5","전국적 인정과 가족 정치 영향력을 함께 지급한다."
"84","84화","A17","발단","2차 수석 뒤 3천만 달러를 빼내고 강철중에게 사면을 약속받는다.","7","9","8","5","2","5","4","5","법률·투자 두 축의 성과를 다음 최종 과제로 묶는다."
"85","85화","A17","상승","일본 담보 포기·김 할매 설거지와 새 사시 응시 제한을 확인한다.","8","6","9","5","2","4","3","5","출구 보상에 불법 장부와 12년 재응시 위험을 붙인다."
"86","86화","A17","위기","고종수와 동기 관계를 맺는 동안 법무부 장관이 탈락을 지시한다.","9","5","9","4","1","5","4","3","따뜻한 인맥 장면 뒤 조직적 배제를 병치한다."
"87","87화","A17","역전","전두완 전화로 탈락 지시와 세 명의 탈락자 명단이 폐기된다.","9","8","8","4","2","4","4","4","권력 비용을 감수한 역전이 타인 구제까지 낳는다."
"88","88화","A17","절정","국민 주권을 말해 3차 면접을 통과하고 하버드 특별입학 승인을 얻는다.","9","10","9","4","2","5","5","5","법률 능력의 최대 사회적 보상을 한 회차에 폭발시킨다."
"89","89화","A17","보상","일본 수익 5천만 달러로 리버마운틴을 세우고 두 달 만에 2억 달러를 운용한다.","6","10","9","5","1","5","4","5","학력·자본·조직 권한을 미국 무대로 한꺼번에 확장한다."
"90","90화","A18","발단","5공 청문회 합의와 AOL 500만 달러 투자 제안이 병렬로 진행된다.","7","6","8","5","1","4","3","5","한국 정치와 미국 자본 두 무대를 동시에 연다."
