sequence,arc_phase,tension_1_10,reward_1_10,hook_1_10,information_weight,action_weight,relationship_weight,emotion_weight,material_or_status_weight,ribbon_rationale,source_lines
601,기술 성과·인프라 전환,4,8,7,0.31,0.12,0.20,0.11,0.26,천민정이 저온 식각 장비를 자랑하고 김민재가 SMR과 AI 데이터센터를 묶어 성과를 다음 성장기반으로 옮긴다,L104943-L105101
602,동맹 교환·원전 확대,6,8,8,0.20,0.13,0.32,0.08,0.27,김민재가 현재 장 회장의 로템 전차 수출을 돕고 원전 동맹 참여를 받아내 관계 교환과 사업 지위가 중심이다,L105102-L105272
603,거품 현금화·통제권 보존,5,9,9,0.21,0.14,0.15,0.05,0.45,메타버스 지분 40퍼센트를 글로벌 IT에 팔면서 통제권을 남겨 현금화와 소유구조 보상에 독자가 머문다,L105273-L105447
604,해킹 급습·생존기술 방어,9,4,9,0.29,0.25,0.10,0.26,0.10,북한이 센트리언 백신·치료제 기술을 노린 해킹을 벌여 정보 추적과 생존 불안이 급상승한다,L105448-L105609
605,해킹 역공·에너지 카드 확보,8,7,8,0.25,0.31,0.11,0.14,0.19,AI 방어로 북한 공격을 막고 장남 경로를 그린 뒤 호주산 석탄까지 사들이는 역공이 중심이다,L105610-L105770
606,에너지 원정·저장망 구축,6,6,8,0.31,0.15,0.22,0.09,0.23,최재석과 동해 고갈가스전 LNG 저장 전환을 정하고 호주·가이아나 순방의 국가 인프라 판을 연다,L105771-L105925
607,호주 협상·석탄 선점,7,9,8,0.18,0.14,0.31,0.08,0.29,모리슨에게 중국이 막은 호주 석탄 장기계약을 제시해 호주를 구하고 대규모 물량을 선점한다,L105926-L106110
608,가이아나 패키지·거점 확보,6,9,8,0.19,0.12,0.27,0.07,0.35,가이아나에 IIT·한국대학과 유전지분·방산을 묶어 광산·해운·에너지 거점을 계약으로 확보한다,L106111-L106261
609,베트남 부패망 역포위,8,6,9,0.25,0.28,0.18,0.17,0.12,김태중이 사이공은행 미아인의 차명대출망을 역이용해 40조 불법대출과 10조 비자금 공개 직전까지 몬다,L106262-L106419
610,부패망 붕괴·정유 결산,8,10,8,0.12,0.27,0.20,0.17,0.24,미아인의 9개 현금창고와 계좌가 동결되고 김태중이 정유회사를 확보해 베트남 모험을 실물 거점으로 닫는다,L106420-L106590
611,귀환·가족의 새 목표,4,6,8,0.09,0.08,0.41,0.32,0.10,귀국한 김태중이 부산 관중의 연호를 받고 축구협회장 뜻을 드러내 손자와 할아버지의 새 가족 약속이 열린다,L106591-L106781
612,지원 설계·명예회복 약속,6,7,8,0.19,0.14,0.35,0.13,0.19,김민재가 매년 90억 기부와 후원사 확대를 약속하며 김태중의 명예회복을 자금·인맥 설계로 받친다,L106782-L106960
613,카르텔 압박·표심 전환,8,7,9,0.20,0.26,0.24,0.10,0.20,국제 축구인맥과 추가 구단을 모으고 중계권료를 60억에서 300억으로 올려 기존 대의원 카르텔을 흔든다,L106961-L107161
614,협회장 당선·플랫폼 지급,7,10,9,0.15,0.18,0.33,0.17,0.17,김태중이 17표로 축구협회장에 당선되고 메타버스 지분 대가로 MS 주식까지 받아 가족 역할과 투자보상이 함께 확정된다,L107162-L107325
615,미국 공급망 협상·예외권 확보,7,8,8,0.28,0.12,0.31,0.07,0.22,바이든에게 미국 반도체공장을 양보하고 중국 팹 자유와 미 국채 협력을 받아 태우의 미중 선택권을 지킨다,L107326-L107501
616,일본 차량용칩 협상·표준 강제,7,9,8,0.23,0.14,0.27,0.06,0.30,르네사스 화재 뒤 일본 완성차에 칩을 주되 T충전망과 전기차 10년 계약을 묶어 태우 표준을 받아내게 한다,L107502-L107680
617,중국 압박·백신 백기 유도,8,6,9,0.24,0.21,0.25,0.18,0.12,센트리언 공장 철거 엄포와 델타 확산 실패를 이용해 중국이 자존심을 접고 재협상하게 만든다,L107681-L107841
618,중국시장 지급·부동산 공매도,7,9,8,0.26,0.19,0.11,0.07,0.37,중국 동부 고밀도 시장을 센트리언 몫으로 받고 에버그란데 붕괴에 100조 원 이상을 걸어 보상이 자본전으로 번진다,L107842-L108009
619,수에즈 구조·아프리카 신뢰 확보,8,8,8,0.16,0.36,0.20,0.11,0.17,태우 중장비와 예인선이 좌초 선박을 빼 나흘 만에 운하를 열고 2억 달러 확장공사와 이집트 신뢰를 얻는다,L108010-L108186
620,코인 위험 제압·기후위기 전환,8,7,9,0.29,0.27,0.12,0.18,0.14,경제학자와 공매도로 로나 스테이블코인의 허점을 공격한 뒤 폭우가 에너지·식량 대란을 예고한다,L108187-L108349
621,석탄난 수익·해운 가동,7,9,8,0.20,0.25,0.09,0.07,0.39,중국 폭우와 탄광침수 때 선점한 호주·몽골 석탄과 태우 해운이 3배에서 10배 운임 수익으로 돌아온다,L108350-L108523
