sequence,arc_phase,tension_1_10,reward_1_10,hook_1_10,information_weight,action_weight,relationship_weight,emotion_weight,material_or_status_weight,ribbon_rationale,source_lines
201,"플랫폼 지급",4,8,8,0.27,0.19,0.24,0.10,0.20,"김익수의 합류 결정과 빅테크 합작 조건을 따라가며 계약·관계·기술 정보에 오래 머문다.","L36347-L36522"
202,"바이럴 재점화",5,8,7,0.20,0.30,0.18,0.14,0.18,"슈퍼볼 사고와 광고 확산 뒤 채드·스티브를 잡는 움직임이 중심이라 행동 리본이 솟는다.","L36523-L36693"
203,"동맹 확장",5,8,8,0.22,0.18,0.27,0.13,0.20,"리사 수의 전권과 사우디 왕자의 장기 약속이 인재 관계와 지위 보상에 무게를 준다.","L36694-L36882"
204,"정치 압박",7,6,8,0.25,0.24,0.18,0.15,0.18,"탄핵 표결·촛불 연설과 리튬 선점이 병행되어 정치 정보와 실행 압박이 높다.","L36883-L37055"
205,"영입 위기",6,6,8,0.23,0.18,0.27,0.20,0.12,"광구는 확보하지만 리사 수가 조직문화에 실망해 떠나려 하므로 관계·감정 체류가 길다.","L37056-L37235"
206,"인재 반전",5,9,7,0.18,0.18,0.32,0.17,0.15,"천민정과의 밤샘 토론이 리사 수 취임으로 뒤집혀 관계 변화와 승진 보상이 봉우리를 만든다.","L37236-L37418"
207,"선거 상승",5,8,8,0.24,0.22,0.24,0.10,0.20,"글로벌 CEO들이 최재석을 세우고 팹리스 전권을 승인해 관계와 사업 지위가 함께 전진한다.","L37419-L37592"
208,"개표 압박",7,5,8,0.25,0.30,0.16,0.14,0.15,"출구조사와 실시간 개표가 엇갈리는 관찰·반응 장면이라 정보와 진행 행동이 앞선다.","L37593-L37765"
209,"정치 지급",6,9,7,0.24,0.16,0.20,0.12,0.28,"38석 캐스팅보트와 AI 학습자산 2만 편이 확정되어 지위·자산 지급이 가장 크다.","L37766-L37935"
210,"위기 씨앗",6,6,8,0.34,0.16,0.15,0.10,0.25,"인도 투자안과 NINA 대출 광기를 읽고 붕괴 보험을 고르는 회차라 정보·금융자산 중심이다.","L37936-L38099"
211,"교섭 진입",6,5,7,0.33,0.17,0.22,0.10,0.18,"보험 구조를 설계한 뒤 최재석에게 IIT를 제안해 설명과 협상 관계에 독자 시선이 머문다.","L38100-L38260"
212,"교섭 지급",5,8,6,0.27,0.19,0.25,0.10,0.19,"한국인 20%·전원취업·행정분산 조건으로 최재석의 동의를 얻는 정책 협상이 중심이다.","L38261-L38406"
213,"기술 확장",5,8,6,0.25,0.21,0.18,0.10,0.26,"테슬라 지분과 50명 자율주행팀이 실물 능력으로 붙어 기술정보와 자산 비중이 높다.","L38407-L38579"
214,"인수 차질",6,4,7,0.24,0.23,0.27,0.13,0.13,"현대와의 거래 뒤 씽크윈 창업자가 현금 인수를 거절해 협상 관계와 저항이 앞선다.","L38580-L38749"
215,"기술 계약·개발 지시",4,7,8,0.24,0.20,0.22,0.11,0.23,"씽크윈의 기술·데이터 독점 사용권과 태우·카이 우선 공급 조건을 교환하고 천민정에게 한 달 안의 무료 앱 개발·배포를 지시한 뒤 김태중의 신사옥 욕심이 새 훅을 연다.","L38750-L38905"
216,"신사옥 도입",5,5,7,0.22,0.22,0.26,0.12,0.18,"김태중의 꿈을 받고 샤롯 부지·명품·지분을 제안하는 가족 동기와 협상이 중심이다.","L38906-L39051"
217,"후계 선택",5,6,7,0.21,0.20,0.31,0.14,0.14,"샤롯 두 아들을 비교하고 조부의 판단으로 차남을 고르는 관계·승계 장면에 무게가 실린다.","L39052-L39226"
218,"외교 확대",5,7,7,0.30,0.19,0.18,0.08,0.25,"600조 원 한러 에너지안을 한전 부지와 묶어 규모·정책 정보와 자산 구상이 크다.","L39227-L39401"
219,"승계 거래",5,7,7,0.22,0.20,0.29,0.10,0.19,"명품 입점·중국 인맥을 차남의 부지 약속과 바꾸므로 관계 협상과 거래 지급이 앞선다.","L39402-L39582"
220,"정치 압박",6,6,7,0.27,0.24,0.22,0.11,0.16,"김태중의 강경 연기와 최재석의 캐스팅보트가 한전 이전을 정책 의제로 밀어 올린다.","L39583-L39737"
221,"교통 장벽",6,7,8,0.23,0.22,0.21,0.10,0.24,"한전 이전·태우맵 10만 명은 지급되지만 차봉훈의 데이터 거부가 새 상대를 세운다.","L39738-L39888"
222,"카르텔 도입",6,5,7,0.24,0.29,0.19,0.09,0.19,"횡령 조사와 택시회사·앱·단말 동시 구축으로 대체망을 만드는 행동이 주 리본이다.","L39889-L40044"
223,"공세 상승",7,6,8,0.21,0.32,0.18,0.09,0.20,"무료 단말 보급과 수사기관 제보에 조폭 반격이 붙어 실행과 긴장이 빠르게 오른다.","L40045-L40202"
224,"시장 반전",8,8,8,0.16,0.38,0.15,0.13,0.18,"닷새 파업을 할인 출시로 뒤집고 기사 매출·업체 이탈을 끌어내 행동과 공개 보상이 강하다.","L40203-L40382"
225,"물리 충돌 전야",9,7,9,0.15,0.36,0.20,0.14,0.15,"70% 편입 뒤 조폭 100명 습격이 다가와 행동 대기와 관계 배신의 압력이 최고조다.","L40383-L40561"
226,"카르텔 결산",9,10,7,0.13,0.42,0.14,0.12,0.19,"20분 제압·배후 구속·80% 편입이 한꺼번에 터져 행동과 지위 보상이 가장 크게 솟는다.","L40562-L40732"
227,"실물 재도입",5,7,7,0.22,0.24,0.24,0.10,0.20,"IIT 첫 삽과 샤롯 차남의 승계 수가 교육 약속을 부지 취득 행동으로 되돌린다.","L40733-L40908"
228,"첫 부지 지급",5,9,7,0.18,0.22,0.18,0.12,0.30,"중국 허가 뒤 1조7400억 원 계약서에 도장을 찍어 물질 보상과 가족 약속이 선명하다.","L40909-L41078"
229,"경쟁자 전환",6,7,7,0.21,0.24,0.28,0.09,0.18,"현대를 가격 경쟁자가 아닌 자동차금융 동맹으로 바꾸는 협상 관계가 회차를 지배한다.","L41079-L41258"
230,"입찰 봉우리",8,7,8,0.20,0.34,0.13,0.10,0.23,"4조·6조 두 봉투를 놓고 실시간 가격 판단을 하므로 행동 긴장과 금액 체류가 높다.","L41259-L41447"
231,"쌍부지 지급",6,9,8,0.17,0.23,0.24,0.13,0.23,"4조 낙찰과 조손의 기쁨 뒤 공군 고도제한이 새 병목으로 솟는다.","L41448-L41625"
232,"군사외교 상승",6,8,8,0.25,0.22,0.22,0.08,0.23,"전투기 세 대·활주로 이전비·미국 승인 조건이 얽혀 정보와 거래 자산 비중이 크다.","L41626-L41796"
233,"확장 숨고르기",4,7,8,0.23,0.20,0.24,0.10,0.23,"부시 승인 확인과 코코아 전국 확장을 지나 수호이 도착을 기다리는 연결 회차다.","L41797-L41960"
234,"예상외 지급",6,9,8,0.20,0.24,0.18,0.14,0.24,"실사용 Su-47 확인과 공군 무반대 약속이 놀람·행동·군사자산 보상을 함께 높인다.","L41961-L42135"
235,"미국 투자 전환",6,7,7,0.30,0.20,0.21,0.09,0.20,"서브프라임 면책 보고와 스페이스X 10년 투자조건을 판단해 정보·관계 비중이 앞선다.","L42136-L42292"
236,"플랫폼 결산",4,9,8,0.19,0.18,0.23,0.10,0.30,"위튜브 이름·빅테크 유통·첫 초고층 허가가 확정되어 물질·지위 보상이 가장 높다.","L42293-L42483"
237,"산업 재도입",5,6,7,0.31,0.20,0.18,0.08,0.23,"사장단 수치와 5배 증설·몽골 자원 계획을 펼쳐 정보와 투자 규모에 머문다.","L42484-L42648"
238,"콘텐츠 설계",4,6,7,0.27,0.21,0.19,0.09,0.24,"계열사 통합과 오디션 상금·채널 구조를 설계해 사업정보와 자산 배치가 중심이다.","L42649-L42803"
239,"창작자 선점",4,8,6,0.18,0.18,0.31,0.13,0.20,"감독·작가에게 제작비와 장기계약을 주는 인재 관계와 선점 보상이 주축이다.","L42804-L42963"
240,"오디션 확장",5,8,7,0.20,0.28,0.18,0.13,0.21,"100만 지원자와 탈락자 2만 명을 직접 훑어 숨은 스타를 찾는 실행·데이터 회차다.","L42964-L43132"
241,"플랫폼 상승",6,7,8,0.21,0.29,0.16,0.10,0.24,"99시간 원본과 검색·뮤직비디오를 엮어 방송과 위튜브 수치를 함께 끌어올린다.","L43133-L43290"
242,"대중 봉우리",7,10,9,0.13,0.31,0.20,0.18,0.18,"결승 21%·톱10 음반·세계 3천만과 머스크 격려가 대중 환호와 관계 보상을 폭발시킨다.","L43291-L43450"
243,"인재 위기",7,4,8,0.20,0.25,0.28,0.16,0.11,"네 가수의 계약해지와 SG·양지파 배후가 드러나 관계 배신과 조사 압력이 앞선다.","L43451-L43611"
244,"중국 역공",8,6,9,0.23,0.31,0.23,0.10,0.13,"강수기 협박을 확인하고 중국 최고위 권력과 거래해 삼합회를 치는 공세가 커진다.","L43612-L43785"
245,"조직 붕괴",9,8,9,0.14,0.42,0.16,0.12,0.16,"삼합회 두목을 역이용해 양지파·SG를 사흘 안에 무너뜨리는 행동 쾌감이 지배한다.","L43786-L43943"
246,"역강탈 결산",8,10,8,0.13,0.31,0.23,0.15,0.18,"강수기가 실형을 택하고 SG 전원이 넘어와 복수·인재·지위 보상이 동시에 닫힌다.","L43944-L44097"
247,"미래축 재도입",5,7,7,0.31,0.20,0.16,0.08,0.25,"보험 노출·전기차 일정·AOS 관중을 점검해 세 미래자산 정보가 넓게 제시된다.","L44098-L44251"
248,"게임·정치 계약",4,7,7,0.23,0.20,0.29,0.09,0.19,"AOS 지분 협상과 최재석의 선거자금 고민이 인재·정치 관계를 함께 움직인다.","L44252-L44405"
249,"기술 실증",6,8,8,0.20,0.34,0.16,0.10,0.20,"일주일 펀딩 개발과 원격주행·비상제동 성공이 연속되어 행동과 실물 능력이 높다.","L44406-L44567"
250,"시민자금 지급",5,9,8,0.18,0.27,0.20,0.10,0.25,"400억 원·70만 구독자가 깨끗한 선거조직으로 바뀌어 행동과 지위 보상이 크게 지급된다.","L44568-L44721"
251,"전기차 검수",5,8,7,0.24,0.28,0.15,0.12,0.21,"투자유치 발표와 쿼크·픽업의 제로백·제동·코너링 실주행이 행동과 제품 보상을 끌어올린다.","L44722-L44903"
252,"공개 봉우리",6,9,7,0.17,0.35,0.16,0.12,0.20,"세 회사 전기차를 연달아 공개해 LA 모터쇼를 전기차 무대로 바꾸는 행동·환호가 중심이다.","L44904-L45072"
253,"가족 신뢰·교대",5,8,8,0.28,0.16,0.26,0.17,0.13,"김태중이 실패까지 감수해 손자를 믿고 라잔 정보를 찾으면서 관계 보상과 위기 정보가 교대한다.","L45073-L45227"
254,"경고 동맹",6,9,9,0.32,0.18,0.25,0.10,0.15,"라잔 등 석학 7명과 금리 도화선 계산을 얻어 위기정보와 인재 동맹이 강하게 지급된다.","L45228-L45387"
255,"여론 공세",7,7,9,0.25,0.28,0.24,0.12,0.11,"모럴해저드 생중계가 버냉키와 부시의 비밀 호출을 끌어내 행동·정치 관계의 긴장이 높다.","L45388-L45569"
