sequence,arc_phase,tension_1_10,reward_1_10,hook_1_10,information_weight,action_weight,relationship_weight,emotion_weight,material_or_status_weight,ribbon_rationale,source_lines
1,"N01·회귀와 첫 보상",9,9,10,0.20,0.25,0.20,0.20,0.15,"고시원 죽음·17세 회귀·시계 폭로·김태중의 100만 달러가 연달아 벌어져 행동과 상실·회복 감정에 오래 머문다.","L1-L255"
2,"N01·투자팀 탐색",6,7,8,0.30,0.18,0.24,0.10,0.18,"한정훈과 A급 세 명의 능력표를 읽고 220억 원 팀을 세우므로 인재 정보와 고용 관계가 중심이다.","L256-L497"
3,"N01·전액 베팅",8,6,9,0.27,0.29,0.17,0.09,0.18,"홍콩 법인·성과계약·닛케이 세 전략을 정한 뒤 전액을 거는 실행과 위험 설명이 팽팽하다.","L498-L722"
4,"N01·일본 수익 지급",8,9,9,0.22,0.26,0.12,0.10,0.30,"닛케이 폭락으로 1,210억 원을 실현하고 곧바로 걸프전 12배 베팅으로 넘어가 현금 보상과 재투자가 솟는다.","L723-L929"
5,"N01·사우디 약속",8,8,9,0.18,0.31,0.28,0.11,0.12,"왕실 보석 절도를 막아 살만의 약속을 얻고 2억 달러 원유 포지션을 잡아 행동과 왕실 관계가 앞선다.","L930-L1168"
6,"N01·20억 달러와 미국행",9,10,8,0.13,0.27,0.19,0.12,0.29,"이라크 침공 뒤 20억 달러가 확정되고 네 직원이 SAVE로 이동해 자산과 조직 지위가 큰 봉우리를 만든다.","L1169-L1387"
7,"N01·월가 조직 확장",7,7,9,0.22,0.26,0.25,0.08,0.19,"35억 원 보너스와 월가 21명 채용 뒤 유가 공매도를 집행해 인재 조직과 다음 포지션에 체류한다.","L1388-L1608"
8,"N01·100억 달러와 제프리",7,10,8,0.17,0.26,0.24,0.08,0.25,"유가 청산 100억 달러와 D.E 인재 13명 이탈이 겹쳐 현금 보상·영입 행동·제프리 대면이 균형을 이룬다.","L1609-L1815"
9,"N01·제프리 영입 비용",6,7,8,0.24,0.15,0.32,0.17,0.12,"냅킨 선순환으로 제프리를 설득하지만 혹독한 운영과 성과보수 갈등이 생겨 관계와 감정 비용이 크다.","L1816-L2017"
10,"N01·조지의 전쟁 동맹",7,8,9,0.27,0.22,0.30,0.08,0.13,"리라화 표적을 맞혀 조지의 추천과 동맹을 얻고 60억 달러 파운드 TF를 세워 정보·관계가 주도한다.","L2018-L2167"
11,"N01·하버드와 대선 저지",7,8,8,0.21,0.20,0.31,0.20,0.08,"하버드 합격으로 김태중을 기쁘게 한 뒤 대선 출마를 막고 재단 허락을 받아 조손 관계와 감정이 길다.","L2168-L2352"
12,"N01·공직 펀드 설계",5,7,8,0.34,0.18,0.23,0.07,0.18,"200억 원 장학재단과 비주류 공직자 100명 펀드의 선발 구조를 설명해 정보·제도 설계 비중이 높다.","L2353-L2512"
13,"N01·김택훈 역조사",7,8,8,0.23,0.29,0.26,0.12,0.10,"퀀텀 100억 원 기부를 미끼로 김택훈을 움직이고 김태중에게 월가 가치를 입증해 행동·가족 권력관계가 앞선다.","L2513-L2676"
14,"N01·파운드전과 배신 감지",8,9,9,0.29,0.25,0.23,0.08,0.15,"클린턴·푸틴 지원과 30억 달러 지급 뒤 조지의 프랑화 배신 계획을 읽어 정보와 다음 대응 훅이 강하다.","L2677-L2851"
15,"N01·귀국과 창원 선택",6,9,9,0.20,0.18,0.28,0.17,0.17,"퀀텀 역이용과 푸틴 감사 뒤 3년을 건너 하버드 졸업·창원 입사를 택해 관계 보상과 새 장소 기대가 높다.","L2852-L3024"
16,"N02·창원 횡령 탐지",6,5,8,0.29,0.27,0.20,0.14,0.10,"차장으로 들어가 고철·총무팀 횡령을 관찰하고 밤샘 회식 뒤 조사팀을 투입해 정보 수집과 잠입 행동이 중심이다.","L3025-L3210"
17,"N02·공장 비리망 확대",7,5,8,0.32,0.27,0.23,0.10,0.08,"팔레트 독점과 공장장·두 경리의 불륜을 연쇄 확인해 비리 정보와 강인식 팀의 추적 행동에 머문다.","L3211-L3402"
