sequence,visible_label,title,start_line,end_line,entry_state,reader_promise,protagonist_goal,action,resistance_or_cost,turn_or_reveal,paid_reward,state_change_axis,state_change,ending_hook,closed_loops,opened_loops,arc_id,confidence
501,501,치열한 공방 (1),87669,87841,강 대위 사무실에는 한 부회장도 없이 강 대위만 남아 밤샘 사업을 지키고 있다.,코로나와 유가 붕괴 전에 방역 설비와 금융 포지션을 먼저 잡는 회귀자 보상.,마스크·음압병동 업체를 사들이고 유가 하락에 베팅해 두 위기를 돈과 생존망으로 바꾼다.,강 대위·이영한에게 마스크·음압병동 업체 매입을 맡기고 한 부회장에게 유가 공매도를 늘린다,감염병 대비는 당장 수익이 없고 유가 공격은 석유에 민감한 미국의 눈총을 살 수 있다.,미국과 중국이 서로 죽이는 데 몰두한 지금은 금융타워의 유가·석유 공격을 살필 여력이 없다는 틈이 보인다.,강 대위·이영한에게 방역업체 인수 지시가 내려가고 한 부회장은 유가 공매도를 확대한다.,자산·정보,막연한 전염병·유가 예측이 방역기업 인수와 유가 숏이라는 실행 포지션으로 바뀐다.,미국과 중국이 전쟁에 시선을 빼앗긴 동안 태우와 금융타워가 수익을 거둘 은폐창이 열린다.,방역업체 매입과 유가 숏 확대 결정.,코로나 확산 때 확보한 업체의 가치와 마이너스 유가 때 숏의 결산.,DCA-N42,0.94
502,502,치열한 공방 (2),87842,88030,김민재와 한 부회장이 커피를 마시며 데이비드가 띄운 니콜라 사기 보도를 지켜본다.,니콜라 폭로 수익을 국내 반도체·디스플레이 동맹으로 환전하는 보상.,오용재에게 미중 충돌을 함께 버틸 생산·재고 공조를 제안한다.,데이비드가 니콜라 사기를 공개하고 김민재가 오용재·삼진과 반도체·디스플레이 공조를 제안한다,오용재는 김민재가 무엇을 할지 몰라 구체적인 협력 조건 없이는 손을 잡기 어렵다.,경쟁사를 죽이는 치킨게임이 아니라 생존용 반도체 재고를 미리 쌓아야 한다는 미래 부족 사태가 제시된다.,오용재와 느슨한 반도체 동맹을 맺고 생산량을 최대한 늘리기로 뜻을 모은다.,관계·생산능력,태우와 삼진이 경쟁사 관계에서 공급 충격에 함께 대비하는 느슨한 동맹으로 이동한다.,미중 분쟁과 코로나가 겹칠 반도체 부족 전에 생산량과 재고를 얼마나 끌어올릴지가 남는다.,니콜라 사기 공개와 오용재의 공조 참여.,"반도체 부족 전 생산 확대, 디스플레이를 포함한 추가 동맹의 구체화.",DCA-N42,0.94
503,503,치열한 공방 (3),88031,88181,오용재와 밤샘 협상을 마친 김민재가 한 부회장에게 느슨한 반도체 동맹의 성과를 설명한다.,기술유출과 일본 보복을 국가법·기업동맹·백악관 거래로 동시에 막는 약속.,기술보호법을 통과시키고 강제징용 판결 뒤 일본의 수출보복까지 되받아칠 국제 보호막을 만든다.,기술보호법과 강제징용 판결 뒤의 한일 충돌을 검토하고 트럼프 재선을 지렛대로 삼는다,중국 기술탈취와 일본의 보복 가능성이 겹치고 트럼프도 관계만으로 마음대로 움직일 수 없다.,트럼프가 가장 원하는 재선 지지율을 회복시켜 주면 미국 기술보호 협약을 원하는 방향으로 끌 수 있다는 교환점이 드러난다.,"삼진과의 동맹 범위를 반도체 밖으로 넓히기로 하고, 트럼프를 직접 설득할 전략이 확정된다.",전략·관계,국내 기업 공조만 있던 상태에서 미국 대통령의 재선 욕망까지 기술보호 카드로 쓰는 국제전으로 확대된다.,팜벨트 지지율을 살릴 대가를 무엇으로 제시해 트럼프의 기술보호 협력을 얻을지가 열린다.,오용재와의 반도체 동맹 협상.,트럼프 재선 지원과 미국 주도 기술보호 협약의 맞교환.,DCA-N42,0.94
504,504,치열한 공방 (4),88182,88346,김민재가 익숙하지 않은 골프채를 들고 트럼프와 필드에서 단독 거래를 시작한다.,미국 농산물 구매로 팜벨트 표와 백악관의 기술·무역 지원을 사는 정치 거래.,미국산 옥수수·대두를 연 220억 달러 규모로 흡수해 트럼프의 재선 지지율을 올린다.,트럼프와 골프를 치며 미국산 옥수수·대두 연 220억 달러 흡수를 약속한다,막대한 구매비용이 들고 트럼프의 호의가 실제 정책 변화로 돌아온다는 보장은 없다.,트럼프는 백악관 관료보다 김민재를 더 믿는다며 조만간 진심을 보여 주겠다고 약속한다.,미국 농산물 연 220억 달러 구매안이 합의되고 트럼프의 공개적인 신뢰와 보답 약속을 얻는다.,외교관계·거래,김민재는 친분에 기대던 트럼프 관계를 채권·농산물이라는 상호 담보가 있는 정책 거래로 바꾼다.,트럼프가 말한 보답이 기술보호와 대중국 정책에서 어떤 형태로 나올지가 남는다.,팜벨트 지원 규모와 구매 방식 합의.,"백악관 기조 변화, 대량 구매를 감당할 곡물 생산·유통망 확보.",DCA-N42,0.94
505,505,치열한 공방 (5),88347,88514,CITI그룹 VIP실에서 다이먼과 데이비드가 연 200억 달러 농업투자의 개인 수익성을 걱정한다.,비테라 인수와 농업위성으로 식량전쟁의 생산·관측·유통망을 한꺼번에 선점하는 약속.,세계 곡창지대를 시간 단위로 읽고 곡물 매입을 소화할 독자 식량망을 만든다.,다이먼·데이비드와 비테라 인수 및 머스크 농업위성 활용안을 짠다,비테라 인수에는 큰 자금이 들고 전 세계 곡창지대를 한 시간마다 스캔할 위성망도 아직 없다.,머스크는 비용만 보장되면 다음 해 안에 시간 단위 농업 관측망을 만들 수 있다고 답한다.,다이먼·데이비드에게 비테라 인수를 맡기고 머스크에게 농업위성 구축 약속을 받는다.,자산·정보망,농산물 구매 약속이 개별 수입에서 곡물회사 소유와 전 지구 관측망 구축으로 확장된다.,식량 대란이 오기 전에 비테라 계약과 위성망을 실제로 완성할 시간이 흐르기 시작한다.,비테라 인수 추진과 농업위성의 기술·비용 가능성 확인.,"비테라 소유권, 위성 발사, 세계 곡물기업과의 힘겨루기.",DCA-N42,0.94
506,506,증거 확보 (1),88515,88679,미국에서 돌아온 김민재는 트럼프의 국방수권법·수출통제개혁법 서명을 한 부회장에게 보고받는다.,중국으로 기술을 빼돌린 탑테크를 물증과 명동 집행력으로 공개 본보기로 만드는 약속.,천민정이 모은 디스플레이 기술유출 자료와 관련자 명단을 이영한에게 넘겨 재산·자금줄을 끊는다.,천민정의 기술절도 증거로 탑테크와 중국 유출선을 이영한에게 넘긴다,탑테크 관련자는 불법자금을 숨겼고 합법적 기업인 태우가 직접 회수하면 수사·평판 위험이 생긴다.,경찰·검찰·국세청이 눈을 감아 줄 조건이 마련되자 이영한이 중간자금과 보유재산까지 토해 내게 할 수 있다고 한다.,천민정의 자료가 이영한에게 인계되고 수사기관 묵인 아래 명동 집행작전이 승인된다.,증거·집행권,기술유출 의심 명단이 명동과 국가기관이 함께 움직일 수 있는 처벌작전으로 전환된다.,악마의 미소를 지은 이영한이 탑테크 관련자들을 어떤 방식으로 무너뜨릴지가 걸린다.,탑테크·관련자 명단 확보와 이영한 투입 결정.,"불법자금 회수, 내부고발자 확보, 기술보호법 여론 반전.",DCA-N42,0.94
507,507,증거 확보 (2),88680,88865,탑테크 창립멤버 양진태가 삼진의 투자로 만든 생산관리 기술을 중국에 넘긴 전력이 드러난다.,탑테크 내부자를 돌려 세워 기술유출의 조직성과 피해규모를 당사자 입으로 증명하는 약속.,이영한이 양진태의 돈·약점을 눌러 내부고발 자료를 확보한다.,이영한이 탑테크 양진태를 압박해 내부고발자로 돌린다,양진태는 기술유출 공범이며 중국자금 통로도 비밀이라 자발적으로 입을 열 이유가 없다.,명동이 임원 약점과 중국 비밀자금 통로를 모두 장악해 탑테크 전체를 희생양으로 세울 수 있게 된다.,양진태가 내부고발 쪽으로 돌아서고 탑테크 임원 약점·자금통로가 확보된다.,증거·관계,공범이던 양진태가 조직을 증언할 내부자로 뒤집히고 탑테크가 국가적 본보기 대상으로 특정된다.,확보한 내부고발과 자금증거를 얼마나 크게 공개해야 기술보호법 반대 여론을 꺾을지가 남는다.,양진태 포섭과 중국자금 통로 차단.,"탑테크 공개처벌, 피해액 산정, 기술보호법 통과.",DCA-N42,0.94
508,508,증거 확보 (3),88866,89034,명동이 확보한 내부고발자와 증거를 앞에 두고 김민재가 공개 수위를 결정한다.,암호화폐 자금과 5조 원 피해를 국민 앞에 드러내 산업스파이 처벌법을 세우는 제도 보상.,탑테크 사건을 여론 반전의 본보기로 만들어 12월 7일 기술보호법을 통과시킨다.,암호화폐 자금흐름과 5조 원 피해를 공개해 12월 7일 기술보호법 통과를 밀어붙인다,대중 수출 의존 때문에 중국을 자극하면 경제가 무너진다는 반대 여론이 강하고 한국이 보복의 전면에 설 위험이 있다.,미국이 전면에 서고 일본·EU가 뒤를 받쳐 중국의 총알이 한국까지 닿지 않게 하는 국제 방어구조가 제시된다.,암호화폐 흐름과 5조 원 피해가 공개되고 기술보호법 통과 일정·국제 블랙리스트 운용 기반이 잡힌다.,법·국제공조,개별 기업의 기술유출 사건이 국가법과 미·일·EU 공동압박의 근거로 격상된다.,기술보호 다음 과제로 비테라 연내 계약과 식량 대란 대비가 전면에 올라온다.,탑테크 공개 본보기와 기술보호법 추진 명분 확보.,"법 시행, 중국의 반발 관리, 비테라 계약.",DCA-N42,0.94
509,509,증거 확보 (4),89035,89193,하버드라는 미국 최고 지성의 권위 뒤에 중국 연계 교수가 숨어 있는 정황이 포착된다.,미국 여론·유럽 공조·금융 공매도를 합쳐 중국 2인자 리강을 양보 협상장으로 부르는 약속.,하버드 교수의 중국 연계를 폭로하고 중국 부동산·지수에 하락 압력을 걸어 협상 명분을 만든다.,하버드 교수의 중국 연계를 터뜨리고 중국 부동산·지수 공매도와 미·일·EU 공조를 건다,여러 국가가 얽힌 공격이라 한국이 먼저 야합하면 모든 불똥이 한국으로 향할 수 있다.,미국도 납득할 증거와 명분이 있으면 중국의 일방 양보를 요구하는 협상이 가능하다는 판이 선다.,"하버드 폭로 카드와 미·일·EU 지원, 중국 공매도 압박이 결합되고 리강 면담 일정이 추진된다.",여론·금융압박,한국 단독의 기술보호 요구가 미국 권위기관 폭로와 다국가 금융압박을 동반한 협상력으로 바뀐다.,리강이 실제로 한국에 와서 어떤 양보를 내놓을지가 다음 승부다.,국제 압박 카드 구성과 리강 면담 추진.,"중국의 기술보호법 철회 요구, 중국행 기술자 블랙리스트 협상.",DCA-N42,0.94
510,510,증거 확보 (5),89194,89363,다급해진 리강이 베이징에서 강 대위 식당 별관까지 직접 찾아온다.,증거를 쥔 김민재가 중국의 철회 요구를 꺾고 기술유출자를 국제 노동시장에서 퇴출하는 보상.,리강에게 기술보호법을 유지시키고 중국으로 간 한국 기술자의 취업 블랙리스트를 받아낸다.,리강의 철회 요구를 증거로 꺾고 중국행 한국 기술자 블랙리스트를 준비한다,중국은 법 철회를 요구하고 국제 블랙리스트는 인력·외교 주권을 건드려 합의가 어렵다.,중국에서조차 버림받는 산업스파이를 만들면 이직·유출 자체를 막을 수 있다는 본보기 설계가 확정된다.,리강의 철회 압박을 증거로 물리치고 미국·일본·EU 취업까지 막는 블랙리스트 추진에 들어간다.,법·국제고용,중국이 법을 흔드는 위치에서 기술유출자를 함께 버려야 하는 수세로 이동한다.,김민재의 미국행 목적이 비테라 인수와 곡물 메이저 ABC 협상으로 구체화된다.,기술보호법 철회 저지와 산업스파이 국제퇴출 원칙.,"비테라 인수 계약, 카길·와이자타를 포함한 곡물 카르텔 분열.",DCA-N42,0.94
