sequence,visible_label,arc_id,arc_phase,concrete_event,tension_1_10,reward_1_10,hook_1_10,information_weight,action_weight,relationship_weight,emotion_weight,material_or_status_weight,pacing_note
153,"153화","S04-A01","상위 Arc 결산·새 약속","63빌딩 수정구를 올려 마탑을 완성하고 0호기 연산으로 탈모 포션을 90% 이상 만든다.",4,9,7,25,20,10,10,35,"152화의 빌딩 매입을 시각적 완공과 주민 구매 반응으로 닫은 뒤 푸르름이라는 새 현금 엔진을 즉시 건다."
154,"154화","S04-A02","도입·정치 공작","이주영의 음주운전 사퇴를 유도해 황연우를 후보로 세우고 푸르름 임상을 통과시킨다.",6,5,7,25,20,15,10,30,"선거 자리·경쟁사 공사·신약 반복구매를 병렬로 열되 모두 마탑 효과의 사업·정치 환전으로 묶는다."
155,"155화","S04-A02","공개·시장 확대","푸르름 10만 병이 하루 만에 팔리고 황연우와 상대 후보 물건에 참·어글리를 건다.",5,9,7,15,15,10,10,50,"50억 원 첫 로열티에서 월 3천억 전망까지 숫자를 키운 뒤 실제 개표로 보상 검증을 넘긴다."
156,"156화","S04-A02","정점·결산·재장전","마탑 영향권 개표가 황연우를 당선시키고 도겸은 7서클 포켓으로 폐기물 시장을 연다.",7,10,8,20,15,20,15,30,"3천759표 열세를 여의도 표가 뒤집는 정치 정점 뒤 새 마법과 3만 톤 폐기물로 다음 Arc를 즉시 재장전한다."
157,"157화","S04-A03","인프라 전진","폐기물 3만 톤과 샤롯타워를 처리하면서 포켓 여섯 거점으로 반나절 배송을 연다.",6,8,7,20,30,10,10,30,"육체노동의 피로를 태풍 액션으로 환기하고 다중 접속·육아 가정 편의라는 생활 보상으로 마무리한다."
158,"158화","S04-A03","딜레마·베팅","미국 위그용 마정석을 얻으려 일본 해저에 자동 회수 마법진을 설치한다.",7,5,8,30,20,10,20,20,"재난 이익과 생명 죄책감을 정보 중심으로 붙이고 샤롯 저주 소문으로 사업 승리도 함께 진행한다."
159,"159화","S04-A03","인수 결산·재난 전조","샤롯타워를 1조9천억 원에 사 세운타워로 바꾸고 M7.3 전진을 감지한다.",6,8,9,20,20,10,10,40,"경쟁사 상징 탈취와 마정석 2만 개를 지급한 직후 본진이 온다는 인식으로 훅을 급상승시킨다."
160,"160화","S04-A03","재난 정점·인정","포탈·골렘·포켓 물자로 일본 주민을 구조해 직원과 시민의 박수를 받는다.",10,10,8,10,40,20,20,10,"쓰나미 현장 액션을 최고조로 올리고 20만 마정석보다 회장님 최고와 비서실장의 걱정에 더 오래 머문다."
161,"161화","S04-A04","반격·정치 도입","일본 지원을 끊고 김운경의 불법 자금 수수를 찍어 50석 신당 후보군에 묶는다.",7,5,8,25,20,20,15,20,"포탈 법의 제도 장벽을 특정 정치인의 약점 포착으로 좁혀 독자 정당이라는 명확한 해결책을 연다."
162,"162화","S04-A04","관계 정점·치유 보상","윤정수를 세 시간 치료해 아버지라는 첫말과 윤경영의 충성을 얻는다.",6,10,8,15,25,30,25,5,"40명 악몽 통제의 냉혹함 뒤 혼수 아들의 눈뜸과 아버지의 웃음을 배치해 감정 보상을 크게 만든다."
163,"163화","S04-A04","조직 결산·적 재장전","윤경영이 현역 7명과 국민중심당 창당을 약속하고 도겸은 일본 무상 지원을 거절한다.",6,8,8,25,15,25,15,20,"정당의 이름·의석·대표를 확정해 정치 Arc를 닫고 샤롯 승계와 사마리아 대가를 다음 갈등으로 남긴다."
164,"164화","S04-A05","새 판·인수 선언","미국 위그와 마인드 컨트롤 성과 뒤 치맥을 보던 도겸이 불턴 인수를 결정한다.",4,8,7,25,15,20,10,30,"시총 숫자와 후보 통제를 짧게 결산한 뒤 축구 부상 장면 하나로 완전히 다른 욕망을 자연스럽게 연다."
165,"165화","S04-A05","협상·조직 구축","2년 4위 조건으로 불턴을 사고 기존 감독 대신 홀딩크를 앉힌다.",6,7,7,20,20,25,10,25,"부채 협상을 성과 조건으로 뒤집고 직원 반발을 명장 등장 한 장면으로 수습해 팀 재건 약속을 선명히 한다."
166,"166화","S04-A05","개조·약속 강화","부상 선수 몸과 문제행동을 고치고 훈련장에 마법진을 설치한다.",5,9,7,20,30,20,10,20,"신체 회복·성격 교정·훈련 합을 연속 지급하되 경기 중 마법은 쓰지 않는 구단주의 재미 기준을 세운다."
167,"167화","S04-A06","공개 보상→납치 위기","불턴 5대0이 중동 사업을 열자 가르시안이 도겸을 국경 터널에 감금한다.",9,7,10,15,25,20,15,25,"구단주 인정의 상승감을 필리핀·가전 계약으로 키운 직후 약물과 총기로 한 번에 추락시킨다."
168,"168화","S04-A06","탈출·반격","배리어로 총탄을 막고 터널을 무너뜨린 뒤 골렘으로 국경 밀수로를 파괴한다.",10,8,8,15,50,10,15,10,"폐쇄 공간 격투에서 지진·전국 터널 파괴로 액션 범위를 넓히고 사토시 정체를 독자에게만 공개한다."
169,"169화","S04-A06","성장·능력 보상","불턴 3위와 글로벌 로열티가 7서클 리플렉션·자동차 안전 옵션으로 돌아온다.",6,9,8,20,20,15,10,35,"적의 카르텔 확장과 주인공의 스포츠·제약·유통 성장을 교차해 양쪽 세력이 함께 커지는 장기 훅을 만든다."
