sequence,visible_label,arc_id,arc_phase,concrete_event,tension_1_10,reward_1_10,hook_1_10,information_weight,action_weight,relationship_weight,emotion_weight,material_or_status_weight,pacing_note
103,"103화","S03-A01","압박·판 확대","조문홍이 전 계열사 주주투표를 선언하고 조도겸·조도훈이 각각 10조 원 자금전에 들어간다.",8,3,8,25,20,15,10,30,"후계 결정 규칙과 필요한 25조 원을 빠르게 제시한 뒤 아부다비 방탄복 협상 직전에서 끊는다."
104,"104화","S03-A01","전진","칼리안 앞 차량 충돌 시연으로 10조 원을 빌리고 임남구를 마법으로 지지자로 만든다.",6,7,6,15,30,20,10,25,"초반 시각 보상 뒤 주식 매수와 외할머니 식당 협상으로 승리 수단을 연속 적립한다."
105,"105화","S03-A01","확대·압박","조도겸이 생방송·팬클럽·세운자동차 광고로 개인 주주 표심을 모으고 라칼은 추가 자금을 찾는다.",6,6,7,20,15,25,15,25,"짧은 인터뷰와 대중 반응을 누적해 민심 우위를 만들고 적의 절박함으로 끝낸다."
106,"106화","S03-A01","위기·반격","라칼이 암살을 명령하자 조도겸은 체인 라이트닝으로 재방파 100명을 쓰러뜨리고 배신자를 심문한다.",9,7,8,10,45,10,20,15,"영국의 살인 명령에서 식당 광역마법으로 곧장 가속하고 김정웅의 공포가 최고조일 때 절단한다."
107,"107화","S03-A01","정점·결산","사방 화물차와 투표 해킹을 모두 막은 조도겸이 35% 대 30%로 부회장이 된다.",10,10,7,10,30,20,20,20,"가족 식탁의 정적부터 자동차 액션·해킹 방어를 거쳐 아버지가 손을 들어 주는 호칭 보상으로 수렴한다."
108,"108화","S03-A02","재장전·도입","부회장 축하 뒤 세운전자에 입성해 다섯 가전제품에 마법을 각인한다.",4,7,6,20,25,15,10,30,"전쟁 후 여진을 짧게 처리하고 새 직장·새 제품 다섯 개를 하루에 펼쳐 다음 성장 엔진을 명확히 한다."
109,"109화","S03-A02","전진·보상","프리미엄 가전 다섯 종이 국내 점유율 30%를 노리고 조도겸은 중동 판로를 택한다.",4,8,7,15,20,10,10,45,"매장 신혼부부 장면으로 제품 효용을 체감시킨 뒤 산업스파이 정일준으로 다음 압박을 남긴다."
110,"110화","S03-A03","재보상·새 약속","칼리안 연회로 중동 주문 30만 대를 받고 세운음향의 8년 스마트폰 특허를 세운전자에 연결한다.",5,8,7,25,20,15,10,30,"가전 해외 성과를 짧게 지급한 뒤 스마트폰 특허 전시장으로 더 큰 시장 약속을 즉시 재장전한다."
111,"111화","S03-A03","압박·전환","피처폰 인력을 스마트폰에 집중하고 배터리 병목을 해결한 뒤 조문홍과 통신법 개정에 나선다.",7,6,8,30,15,15,10,30,"조직 재편과 기술 문제를 정보 중심으로 처리하고 미국 정부 속보로 정치전의 속도를 높인다."
112,"112화","S03-A04","전진·공개","단말기 자급제를 통과시키고 샌프란시스코에서 AI 스마트폰 매지션을 발표한다.",7,9,9,25,25,10,10,30,"법 개정 결산 뒤 지문·음성 AI를 단계적으로 올려 기립박수를 주고 기술 도용 질문으로 급정지한다."
113,"113화","S03-A04","반전·보상","세운음향 특허와 4년 전 한정 스마트폰으로 도용 의혹을 뒤집고 선주문 100만 대를 받는다.",6,9,7,20,20,10,15,35,"의심을 세게 쌓을수록 오래된 증거의 반전이 커지며 숫자 보상 뒤 통신사 창업으로 다리를 놓는다."
114,"114화","S03-A05","도입·관계 전환","조도겸이 마인드 리딩 헤드셋으로 코일 박사의 목소리를 되찾아 주고 CTO로 영입한다.",5,8,6,20,20,25,20,15,"해외 인지도 문제를 인물 욕망과 신체적 결핍에 맞물려 기술 시연·악수라는 감정 보상으로 푼다."
115,"115화","S03-A05","공개 보상·여진","코일이 CES에서 뇌파 기계팔을 시연해 매지션 판매를 폭증시키지만 기술 비밀을 의심한다.",5,9,8,15,25,25,15,20,"대중 박수와 매출을 충분히 머문 뒤 상무 승진과 코일의 의심을 겹쳐 기쁨 속 새 균열을 만든다."
116,"116화","S03-A06","비밀 공유·교량","조도겸이 코일에게 마정석을 공개해 세운스페이스 책임자로 만들고 지역 통신사 8곳을 묶는다.",6,7,8,25,15,30,15,15,"관계 위기를 비밀 일부 공개로 해결한 뒤 우주 비전·통신사 인수·조민우 복수를 병렬로 연다."
117,"117화","S03-A06","인프라 전진","중고 선박·매설기를 골렘화해 일본 해저케이블을 깔고 대한통신 인공위성을 뇌물 거래한다.",7,6,8,20,35,10,10,25,"거대한 물성을 다루는 제작 장면을 길게 보여 주고 금괴를 받은 임원들로 법적 위험을 남긴다."
118,"118화","S03-A06","공개 보상·역압박","코일의 자율주행 전기차 알파 행사로 DK통신 가입자가 폭증하자 카르텔이 기지국을 막는다.",7,8,8,15,30,15,10,30,"도로 시연과 기사 반응을 시원하게 지급하고 즉시 메이저 3사의 조직적 반격으로 긴장을 복구한다."
119,"119화","S03-A06","역이용·관계 보상","기지국을 투명화하고 층간소음 기술로 세운건설 아파트 통신망을 얻는다.",6,8,7,15,25,25,10,25,"통신 기술과 생활 보상을 결합해 조주영의 신뢰 발언에 머문 뒤 가격 담합 전쟁을 열어 둔다."
120,"120화","S03-A07","기억 회수·베팅","노래가 서브프라임 기억을 깨워 조도겸이 2조 원 전액 하락 베팅을 지시하고 금괴 골렘을 회수한다.",7,6,8,30,20,20,10,20,"회귀 기억의 불안을 투자 회의로 바꾸고 금고 절도 반전으로 마법의 영리함을 별도 보상한다."
121,"121화","S03-A07","압박·선 넘는 반격","기지국 염산 테러에 맞서 경쟁사 해저케이블을 끊어 DK통신을 점유율 4위로 끌어올린다.",9,8,8,15,40,10,10,25,"금융 포지션 대기와 통신 폭력전을 교차해 정체를 피하고 일주일 점유율 급등으로 결산한다."
122,"122화","S03-A07","대결산·여진","리먼 파산으로 8조 원을 벌고 창립멤버 셋에게 각 100억 원 성과급을 준다.",4,10,9,15,10,30,20,25,"거대한 숫자 보상을 사람들의 축하파티에 내려앉힌 뒤 조문홍을 노린 칼 한마디로 분위기를 뒤집는다."
123,"123화","S03-A08","가족 위기·전환","방탄복이 조문홍의 칼 피습을 막지만 그는 밤새 술을 마신 뒤 사망하고 조도겸에게 회장을 남긴다.",9,5,9,10,25,30,25,10,"구출의 안도와 뜻밖의 죽음을 붙여 감정 낙차를 만들고 장례·유언의 회장 호칭으로 끝낸다."
124,"124화","S03-A08","승계 결산·재장전","주가를 낮춰 상속세를 줄이고 첫 사장단 회의에서 세운생명·카드 매각을 선언한다.",7,8,7,20,15,25,15,25,"상속세 계산과 사장단 권력전을 한 화에 묶어 회장 실권을 증명하고 우주 자금으로 전환한다."
125,"125화","S03-A09","국제 협상·베팅","존 데스타에게 2천억 원·미국 공장·코일 연설을 주고 오바마 당선 뒤 고체연료 허가 약속을 받는다.",8,8,7,25,15,25,10,25,"미국 대선 불확실성을 미래지식 베팅으로 처리하고 당선 전화로 협상의 첫 결실을 바로 지급한다."
126,"126화","S03-A09","공표·여론 보상","코일과 상호 이용 신뢰를 확인하고 세운스페이스를 공개해 세운 주가를 상한가로 만든다.",6,8,8,20,20,25,15,20,"인물 간 약속에서 기자회견·시장 반응으로 규모를 넓힌 뒤 OTT와 조민우 잠입을 새 축으로 연다."
127,"127화","S03-A10","사업 확장·위기 발견","롤북과 5대5 OTT를 만들고 세운조선의 5조 원 해양플랜트 위험을 발견한다.",5,6,7,25,15,20,10,30,"미국 디지털 사업의 가벼운 협상 뒤 거제의 무거운 산업 위기로 무게를 전환한다."
128,"128화","S03-A10","현장 압박·전진","조도겸이 한 달간 거제에서 80개 모듈을 마법화해 절반 출항시키고 세운조선을 살린다.",7,8,9,20,30,20,15,15,"작업복 노동과 직원 월급이라는 관계 보상 뒤 토니 살해·사토시 탈취로 적 서사를 강하게 끊는다."
129,"129화","S03-A10","적 변신·규제 보상","조도겸과 사토시가 동시에 비트코인을 채굴하고 한미 지침은 민간 고체연료를 허용한다.",7,8,8,25,25,15,20,15,"살인으로 이름을 얻은 적과 환호하는 주인공을 대비시켜 장기 전선을 열고 우주 규제 보상을 준다."
130,"130화","S03-A11","조직 출범·협상","돌산도 센터가 문을 열고 조도겸은 러시아 제니트의 10억 달러 발사대 가격을 박차고 나온다.",6,5,7,25,20,15,10,30,"새 센터의 설렘을 충분히 보여 준 뒤 냉정한 협상 이탈로 다음 화 가격 역전을 준비한다."
131,"131화","S03-A11","협상 보상·기술 획득","6억 달러에 발사대와 엔진을 사고 모형이 실제 로켓 엔진임을 확인한다.",5,9,7,20,30,10,10,30,"가격 하락을 계단식으로 지급하고 마지막 실제 엔진 반전으로 기술 보상을 한 번 더 올린다."
132,"132화","S03-A11","건설 전진·능력 보상","골렘으로 발사대를 120시간 안에 조립하고 6서클 완숙 뒤 베네수엘라 번개 마정석을 연다.",6,8,8,20,35,10,10,25,"거대한 공사를 빠르게 시각화하고 마법 성장·새 에너지원으로 다음 시험발사의 기반을 쌓는다."
133,"133화","S03-A12","자원 보상·규제 압박","번개 한 번에 최상급 마정석 만 개를 얻고 러시아 소형 로켓 반입·시험 허가를 확보한다.",6,7,8,25,25,10,10,30,"자원 풍요를 크게 지급한 뒤 미래그룹의 정치 견제와 정부 회담으로 속도를 제어한다."
134,"134화","S03-A12","실패·재도전 보상","첫 로켓은 3단에서 실패하지만 1·2단을 재활용해 두 번째에 위성 여섯 대를 올린다.",9,10,7,15,40,15,20,10,"실패 여론에 머문 만큼 창고의 회수 추진체 반전과 60일 뒤 성공의 환호가 크게 느껴진다."
135,"135화","S03-A13","공격 감지·마법 보복","미래자동차가 하청업체를 끊자 조도겸이 세 공장에 토네이도·우박·침수를 일으키고 결함을 찾는다.",9,7,9,10,50,5,15,20,"전국 재난을 연타해 속도를 극대화하고 대규모 리콜 숫자로 다음 응징을 예고한다."
136,"136화","S03-A13","공개 승부·추가 압박","미래 100만 대 리콜 직후 알파Ⅱ가 서울-부산 자율주행에 성공하고 노조는 파업한다.",8,9,8,15,30,15,15,25,"경쟁사의 나락과 세운의 미래차 시연을 붙여 대비를 극대화한 뒤 황연우의 몸싸움으로 희극적 훅을 준다."
137,"137화","S03-A13","공급망 결산·다음 위험","세운은 돌아온 70% 업체만 받아 자립 공장을 추진하고 조도겸은 메테오로 위성 자리를 만들려 한다.",6,7,9,20,20,25,10,25,"협력사 갑을 역전 보상 뒤 우주 궤도라는 완전히 다른 문제로 스케일을 다시 올린다."
138,"138화","S03-A14","극한 전환·연쇄 보상","전용기 메테오로 궤도를 비워 위성 15대를 올리고 전국 와이파이가 매지션·알파Ⅱ 주문을 폭발시킨다.",9,10,8,15,35,15,15,20,"30분 탈진을 길게 체감시킨 뒤 위성·통신·휴대폰·자동차의 다층 보상을 연속 지급한다."
139,"139화","S03-A14","잠입 도입","김건웅이 필리핀 카지노에 위장 잠입해 0호기로 서버와 모든 장비 통제권을 빼앗는다.",8,7,7,20,30,20,15,15,"위험한 현장 연기를 촘촘히 보여 주며 성과급보다 즐거워하는 김건웅의 인물성을 보상한다."
140,"140화","S03-A14","다중 전진·상생 보상","카지노를 역조작하고 미국 위성·OTT에 투자하며 미래가 버린 1차 업체를 세운이 지원한다.",6,7,7,20,25,15,10,30,"여러 전선을 빠르게 교차하지만 모두 적의 손실을 세운 성장으로 바꾸는 하나의 인과로 묶는다."
141,"141화","S03-A15","제품 전진·가족 응징","최상급 마정석으로 가전·제약 성능을 높이는 동안 조도영 카지노가 급습당한다.",7,8,8,20,20,10,10,40,"프리미엄 숫자 보상 뒤 필리핀 감옥의 급락을 길게 보여 사업 성공과 가족 응징을 대비한다."
142,"142화","S03-A15","교정 시험·표적 전환","가짜 출소에도 오만한 조도영을 다시 감옥에 넣고 조도겸은 한동수·한소희 내전을 구상한다.",8,5,8,15,25,30,25,5,"반복 폭력의 불편함을 조도영의 불변으로 정당화한 뒤 더 큰 재계 공격으로 목표를 바꾼다."
143,"143화","S03-A15","배후 조작·결산","한동수 스캔들을 묶어 회장직을 흔들고 한소희를 포섭해 미래그룹 내전을 시작한다.",7,8,7,20,15,25,20,20,"작은 약점을 여러 기사와 욕망으로 증폭해 다른 대기업까지 달려드는 군집 보상으로 끝낸다."
144,"144화","S03-A16","새 엔진 도입·실증","서울-대전 포탈을 몸소 통과하고 전국 택배망을 만들어 한 달 만에 점유율 3위에 오른다.",5,9,8,20,35,10,10,25,"겁먹은 첫 이동의 희극과 실제 일용직 물류 장면을 지나 CES 공개 직전까지 단계적으로 키운다."
145,"145화","S03-A16","세계 공개·새 압박","CES에서 포탈과 위그드라실을 공개해 이틀 800만 가입자를 얻지만 정부가 군수 기술을 요구한다.",7,10,8,25,20,15,10,30,"대형 발표 보상을 즉시 사용자 숫자로 확인하고 정부·조폭의 포탈 욕망을 동시에 열어 긴장을 복원한다."
146,"146화","S03-A16","침입 위기·응징","연합파 30명이 포탈 밀수를 요구하자 물류 골렘이 모두 제압해 무인도로 보낸다.",9,8,8,10,50,10,20,10,"긴 협상으로 조폭의 오판을 드러낸 뒤 골렘 격투와 포탈 추방을 짧고 강하게 터뜨린다."
147,"147화","S03-A17","여진·자본시장 확대","해양 골렘이 연합파 탈출을 막고 위그드라실은 샤롯의 15조 제안을 거절해 뉴욕 상장을 준비한다.",6,7,8,25,15,10,10,40,"무인도 희극을 빨리 닫고 기업가치·의결권·상장이라는 더 큰 숫자 전선으로 넘어간다."
148,"148화","S03-A17","정점 보상","위그드라실이 시총 80조 원에 마감해 7서클이 열리고 조도겸은 홍 사장의 다리를 재생한다.",6,10,8,10,15,25,25,25,"새벽 차트의 긴장을 숫자 정점으로 터뜨린 뒤 개인적이고 감정적인 보상에 오래 머문다."
149,"149화","S03-A17","관계 보상·역전 여진","홍 사장의 회복을 동료들이 껴안고 샤롯은 굽히며 코일도 자기 목소리를 되찾는다.",5,10,8,15,15,35,25,10,"돈보다 관계 보상을 연속 배치하고 샤롯의 야쿠자 선택으로 행복한 여진 아래 위협을 심는다."
150,"150화","S03-A18","납치 위기·잠입","코일 가족이 납치되자 조도겸은 코일로 변장해 영국 인질 집에서 일본행 요구를 받아들인다.",9,3,9,15,30,30,20,5,"사장단 성장 보고의 안정감을 납치 전화가 찢고 변장 잠입으로 능동적 위기 대응을 만든다."
151,"151화","S03-A18","심문 전환·대결산","신이치를 환상으로 무너뜨려 샤롯 배후를 자백받고 가족 구출과 야쿠자 2조 원대 자산 회수를 끝낸다.",10,10,7,10,45,20,15,10,"환상 고문·영국 골렘 구출·고베 포탈 약탈을 병렬로 폭발시켜 한 화에 복수 전선을 닫는다."
152,"152화","S03-A19","재장전·새 약속","야쿠자 전리품 3조 원으로 마법사의 탑을 열고 63빌딩을 사서 세운 마크를 단다.",5,9,8,20,20,20,15,25,"납치 여진을 안전한 귀환으로 닫고 최고층 빌딩 매입·마탑 개조라는 다음 규모의 시각 약속을 세운다."
