sequence,visible_label,arc_id,arc_phase,concrete_event,tension_1_10,reward_1_10,hook_1_10,information_weight,action_weight,relationship_weight,emotion_weight,material_or_status_weight,pacing_note
52,"52화",S02-A01,"결산","DK의 일괄 매입과 직원 주거 지원으로 용인 미분양 130가구가 하루에 소진되고 도겸이 대리로 승진한다.",4,9,6,15,25,25,15,20,"판매 숫자 뒤에 팀 박수·보너스·소고기 회식을 붙여 첫 조직 인정의 체감도를 높인다."
53,"53화",S02-A02,"도입","잠복과 쓰레기 수색이 실패한 뒤 도겸이 대지의 기억으로 한신건설 투찰가 577억 원을 듣는다.",6,5,8,30,30,15,10,15,"육체적 정보전의 실패를 새 마법 정보의 정확한 숫자로 뒤집되 출처 문제를 남긴다."
54,"54화",S02-A02,"결산","도겸이 태백건설보다 90만 원 낮게 투찰하도록 마지막 100만 원을 수정한다.",8,8,8,25,35,15,10,15,"10만 원 단위 경쟁과 마감 직전 수정으로 숫자 승부의 압박을 최고점 직전까지 끌어간다."
55,"55화",S02-A03,"전환","90만 원 차 낙찰과 네 번의 연승 뒤 도겸이 승진 조건으로 콩고 터널 현장에 간다.",6,7,8,20,20,25,20,15,"입찰팀의 환송과 창립 멤버의 반대를 거쳐 공간·목표·위험의 규모가 한 번에 바뀐다."
56,"56화",S02-A03,"압박","용병으로 폭약을 반입하고 강화 굴착도구와 터널 실드를 준비해 거대 암반 발파 카운트다운에 들어간다.",8,5,9,15,50,10,15,10,"실드가 붕괴를 막을지 알 수 없는 상태에서 준비 행동을 촘촘히 누적한다."
57,"57화",S02-A03,"결산","발파로 공기를 반년 줄이고 귀국한 도겸이 과장으로 승진한 뒤 SY엔터 사장직을 수락한다.",9,10,9,15,25,25,20,15,"현장 성공을 임덕준 귀가·공항 포옹·승진·팀 회식·계열사 경영권으로 연쇄 보상한다."
58,"58화",S02-A04,"도입","SY엔터에 취임한 도겸이 장부를 열어 세 부서장의 횡령과 미래 스타 열 명 명단을 확보한다.",5,6,7,25,20,25,10,20,"새 사장 호칭의 낯섦과 즉시 드러난 비리로 경영 장르의 새 판을 빠르게 연다."
59,"59화",S02-A04,"전환","횡령 증거로 임원들을 복종시키고 폐기될 라일락의 노래와 목을 스트렝스로 살린다.",7,7,7,20,30,25,10,15,"권력 역전과 가수 회생을 한 회에 묶어 조직 장악이 곧 상품 선택으로 이어지게 한다."
60,"60화",S02-A04,"결산","참 마이크·광고 세 건·100억 원 제작비로 슈퍼-K를 열고 HTO의 미래 스타 네 명을 영입한다.",6,8,8,20,30,20,10,20,"돈과 마법을 방송 편성·계약서·데뷔 무대로 번역해 엔터 경영의 실물 보상을 준다."
61,"61화",S02-A05,"도입","카디의 마약과 TF의 탈세 장부를 지렛대로 강석현에게서 15세 권빈 계약을 넘겨받는다.",8,7,7,30,30,20,10,10,"잠복·증거·현금·퇴로를 한 협상에 겹쳐 핵심 인재 영입의 위험과 효율을 동시에 보여 준다."
62,"62화",S02-A05,"전진","마법진 운동복·최면·힐·식단으로 이민지의 두 달 복귀 프로젝트를 시작한다.",6,5,7,15,35,20,20,10,"차트 숫자보다 몸의 피로·포만감·체중 변화에 초점을 두어 회복 과정의 촉감을 만든다."
63,"63화",S02-A05,"결산","버서커로 공황을 뚫은 나다희가 햇빛과 녹음실로 돌아와 한 달 뒤 SY 첫 차트 1위를 만든다.",8,9,7,15,30,25,25,5,"닫힌 커튼이 열리는 장면을 다음 날의 호칭·태도 변화와 1위 숫자로 결산한다."
