sequence,visible_label,title,start_line,end_line,entry_state,reader_promise,protagonist_goal,action,resistance_or_cost,turn_or_reveal,paid_reward,state_change_axis,state_change,ending_hook,closed_loops,opened_loops,arc_id,confidence
103,103화,전면전(2),25688,25899,조문홍의 교통사고 뒤 조도겸과 조도훈의 후계 경쟁이 공개 결산 단계에 들어간다.,재벌 후계전이 주주투표와 자금전으로 커지는 장면,세운그룹 지분을 확보할 10조 원 이상을 마련한다.,백두빌딩에서 0호기와 매수 전략을 짜고 아부다비의 칼리안에게 마법 각인 방탄복을 담보성 제안으로 내민다.,필요 자금은 25조 원 안팎이고 라칼도 조도훈에게 10조 원을 댄다.,조문홍의 주주투표는 갈등을 결산하면서 그룹 주가와 화제성까지 올리려는 경영 수였다.,조도겸이 칼리안과 대등한 10조 원 조달 협상에 진입한다.,돈·지위·관계,후계전이 형제 간 실적 비교에서 전 계열사 주주를 상대로 한 50조 원 규모 전면전으로 바뀐다.,방탄복 가치를 믿지 않는 칼리안에게 조도겸이 직접 효능을 보여 주려 한다.,사장단이 요구한 후계 결정 방식,칼리안의 10조 원 대출 조건과 주주 표심 확보,S03-A01,high
104,104화,중도(1),25900,26120,칼리안은 방탄복 100벌만으로 10조 원을 빌려주기 어렵다고 본다.,마법 기술을 자금과 신뢰로 환전하는 통쾌한 협상,10조 원을 확보하고 대주주 표를 조도겸 쪽으로 묶는다.,차를 벽에 들이받아 방탄복을 시연하고 대출 계약을 맺은 뒤 0호기로 주식을 매수하며 외할머니 식당에서 임남구를 참과 힙노시스로 설득한다.,패배하면 칼리안 밑으로 들어가 기술까지 넘겨야 하고 주가는 이미 상한가이며 대주주는 조도훈의 인사권 약속을 받았다.,칼리안은 조도겸의 신의를 담보로 10조 원을 당일 송금하고 임남구는 방탄복을 입어 지지 의사를 보인다.,10조 원과 세운전자 8% 보유 대주주의 지지 기반을 얻는다.,돈·관계·지위,칼리안은 채권자이자 친구로 더 깊이 묶이고 임남구는 조도겸 편으로 기운다.,남은 대주주와 개인 주주의 표심 경쟁,라칼의 10조 원 우위와 방탄복 가치 증명,남은 대주주와 개인 주주의 표심 경쟁,S03-A01,high
105,105화,중도(2),26121,26353,주주투표 21일 전 조도겸은 50명 대주주의 약 10% 지분을 접촉했다.,언론과 마법을 결합해 대중을 자기 편으로 만드는 선거전,개인 주주가 주식을 보유한 채 자신에게 투표하게 한다.,0호기 보조로 생방송 함정 질문을 받아치고 호감 마법을 건 연속 인터뷰와 세운자동차 광고로 팬클럽을 키운다.,개인은 작은 이익에도 주식을 팔 수 있고 하루 여섯 건의 방송으로 조도겸의 정신력과 체력이 소모된다.,주식 한 주 보유를 가입 조건으로 한 팬클럽이 성장하고 광고 뒤 신차 선주문까지 폭주한다.,언론 노출이 지지율 15% 우위와 팬클럽 20만 명이라는 투표 자산으로 바뀐다.,지위·관계·돈,추가 자금이 막힌 라칼이 조도훈을 경멸하면서도 더 잔인한 수를 찾는다.,라칼의 추가 자금·암살 대응과 최종 투표,대주주 10% 접촉과 개인 주주용 서사 구축,라칼의 추가 자금·암살 대응과 최종 투표,S03-A01,high
106,106화,결과(1),26354,26617,라칼은 후계전에서 밀리자 영국의 대부에게 추가 10조 원을 구하러 간다.,돈으로 못 이긴 적이 살인으로 넘어와도 마법으로 압도하는 응징,투표 전 마지막 변수를 없애고 배신한 대주주를 통제한다.,라칼의 대부는 자금 대신 잔혹함을 요구하고 라칼은 암살을 명령한다. 조도겸은 재방파 약 100명을 체인 라이트닝으로 쓰러뜨리고 어스 메모리로 김정웅의 공모를 확인해 블라인드와 힙노시스를 건다.,6서클 개방 기회 하나를 소모하고 불법 공격 흔적과 CCTV를 지워야 하며 대주주 김정웅까지 배신했다.,체인 라이트닝이 홍 사장의 다리를 망가뜨린 재방파 전력을 한꺼번에 무력화하고 김정웅의 거짓말도 현장 기억으로 드러난다.,체인 라이트닝이 홍 사장의 다리를 망가뜨린 재방파 전력을 한꺼번에 무력화하고 김정웅의 거짓말도 현장 기억으로 드러난다.,능력·관계,조도겸이 6서클 광역 전격마법을 얻고 재방파와 김정웅을 공포로 제압한다.,김정웅에게 건 힙노시스가 어떤 굴복을 만들지 직전에 끊긴다.,라칼의 추가 자금 요청 실패와 재방파 습격,김정웅 처분과 주주투표 당일의 최종 공격,S03-A01,high
107,107화,결과(2),26618,26895,실명과 공포 암시에 걸린 김정웅이 조도겸 손에 매달린다.,가족 식탁의 긴장부터 암살·해킹을 뚫고 부회장 호칭을 얻는 대결산,주주투표를 온전히 끝내 조도훈을 꺾고 부회장이 된다.,김정웅의 시력을 잠시 돌려 월별 치료제로 복종시키고 아침 식탁에서 승복을 약속한다. 사방 화물차 습격은 배리어·그리스·어스 브레이크로 탈출하고 0호기로 투표 해킹을 막는다.,조도훈은 출근길 차량 암살과 100곳 이상 해킹을 동원하며 조도겸의 득표는 예상보다 근소하다.,35% 대 30%로 조도겸이 이기고 조문홍이 직접 손을 들어 주며 조도겸 부회장이라 부른다.,35% 대 30%로 조도겸이 이기고 조문홍이 직접 손을 들어 주며 조도겸 부회장이라 부른다.,지위·가족·관계,조도겸이 20대 세운그룹 부회장이 되고 조도훈은 사장단 앞에서 패자가 된다.,조도훈·라칼의 복수와 부회장으로서 첫 경영 과제,후계자 투표와 형제 실적 경쟁,조도훈·라칼의 복수와 부회장으로서 첫 경영 과제,S03-A01,high
108,108화,세운전자(1),26896,27141,부회장 선출 다음 날 라칼은 실패 책임으로 대부의 시동 겸 살인자가 되고 조도훈은 미국으로 물러난다.,새 지위를 현금 흐름과 마법 제품으로 즉시 바꾸는 취임 보상,세운전자 사장을 겸임해 매년 1조 원 상환 재원을 만든다.,창립멤버 축하 자리에서 폭락한 지분을 팔지 않기로 하고 세운전자에 입성해 프로즌 포그·퓨리피케이션·클린·드라이를 다섯 가전에 각인한다.,칼리안에게 10조 원을 갚아야 하고 세운전자는 국내 가전 3위이며 조도훈 파벌이 임원진을 차지한다.,옛 적 이동일 부사장도 부회장님이라 90도 인사하고 하루 만에 다섯 로열티 제품의 원형이 생긴다.,옛 적 이동일 부사장도 부회장님이라 90도 인사하고 하루 만에 다섯 로열티 제품의 원형이 생긴다.,지위·돈·능력·호칭,조도겸은 부회장 겸 세운전자 사장으로 적진을 접수하고 가전 프리미엄 라인을 시작한다.,다섯 가전의 상용화와 연 1조 원 상환,부회장 취임 후 첫 자리와 사업 선택,다섯 가전의 상용화와 연 1조 원 상환,S03-A02,high
109,109화,세운전자(2),27142,27369,마법 각인 가전 다섯 종이 프리미엄 라인으로 개발되기 시작했다.,마법 제품이 매장 선택과 매출·로열티로 이어지는 사업 보상,국내 점유율을 안정시키고 해외 판로를 연다.,바이러스까지 제거하는 공기청정기를 시작으로 냉장고·에어컨·세탁기·건조기를 출시하고 중동 시제품을 칼리안에게 가져가려 한다.,다섯 제품 로열티도 연 2천억 원 수준이라 1조 원 상환에는 부족하고 해외 인지도도 낮다.,두 달 만에 판매량 50% 증가와 국내 점유율 30% 진입 전망이 나온다.,두 달 만에 판매량 50% 증가와 국내 점유율 30% 진입 전망이 나온다.,돈·지위,세운전자가 국내 3위에서 프리미엄 가전 강자로 올라서고 DK에 연 2천억 원 로열티 길이 열린다.,중동 판로와 정일준의 연구자료 절도,다섯 가전 상용화와 국내 프리미엄 수요 검증,중동 판로와 정일준의 연구자료 절도,S03-A02,high
110,110화,업계 1위(1),27370,27575,조도겸은 중동용 가전 시제품을 들고 다시 칼리안 저택을 찾고 정일준은 미래전자에 자료를 넘기려 한다.,왕족 인맥으로 판로를 뚫고 8년 묵힌 특허로 스마트폰 시장을 선점하는 확장,중동 판매를 폭발시키고 세운전자의 다음 먹거리인 스마트폰을 시작한다.,칼리안 연회 홍보 약속으로 공기청정기 30만 대 주문을 만들고 오민규 등 연구진을 세운음향 기술관에 데려가 터치·디자인·잠금 특허를 공개한다.,세운전자 휴대폰 매출은 미국 스마트폰 때문에 급락하고 특허 장벽에 막혀 있다.,세운음향이 8년간 축적한 특허가 A플보다 앞섰음이 드러나 내년 초 출시가 가능해진다.,세운음향이 8년간 축적한 특허가 A플보다 앞섰음이 드러나 내년 초 출시가 가능해진다.,돈·능력·지위,가전은 중동 활로를 얻고 세운전자·세운음향 합작 스마트폰 개발이 본격화된다.,배터리 문제와 스마트폰 출시·로열티,중동 가전 판로 확보,배터리 문제와 스마트폰 출시·로열티,S03-A03,high
111,111화,업계 1위(2),27576,27784,세운음향 특허를 적용한 스마트폰 개발이 시작됐으나 배터리와 통신사 장벽이 남았다.,회귀 지식으로 조직을 재편하고 아버지 인맥까지 동원해 악법을 흔드는 승부,스마트폰 개발 자원을 집중하고 국내 출시를 막는 통신법을 바꾼다.,피처폰 인력을 스마트폰으로 옮기고 세운배터리와 마법으로 30% 향상 배터리를 공급한 뒤 조문홍과 미국 대사를 움직여 여론전을 연다.,피처폰이 세운전자 매출 20%를 차지하고 3대 통신사가 와이파이폰을 막으며 국회의원도 로비에 묶여 있다.,조문홍은 도겸이를 부회장으로 선출하길 잘했다며 인정하고 미국 정부가 FTA 위반 검토를 발표한다.,조문홍은 도겸이를 부회장으로 선출하길 잘했다며 인정하고 미국 정부가 FTA 위반 검토를 발표한다.,가족·관계·능력·지위,아버지와 아들이 법 개정 목표로 한 팀이 되고 스마트폰 기술 병목이 해소된다.,통신법 개정과 통신 카르텔의 반격,배터리 성능 병목과 내부 자원 배분,통신법 개정과 통신 카르텔의 반격,S03-A03,high
112,112화,스마트폰(1),27785,28017,미국 정부의 강경 입장문으로 통신 카르텔의 균열이 시작됐다.,법 개정과 제품 발표를 연쇄시켜 시대를 앞선 매지션을 세상에 내놓는 보상,단말기 자급제를 통과시키고 매지션을 세계 시장에 각인한다.,방탄복 천 벌·방탄차량 50대로 미국 협력을 사고 CT통신과 A플의 독점 계약을 유도한다. 법 개정 뒤 샌프란시스코에서 지문 인식과 0호기 기반 음성 AI를 시연한다.,CT통신은 국내 제조사 보복을 감수해야 하고 조도겸은 공학 전문성이 약하며 A플과의 유사성 의혹이 예상된다.,2008년 1월 단말기 자급제가 시행되고 매지션의 AI 자기소개에 관계자들이 기립박수한다.,2008년 1월 단말기 자급제가 시행되고 매지션의 AI 자기소개에 관계자들이 기립박수한다.,세계·지위·돈,한국 스마트폰 시장이 열리고 세운전자가 A플과 직접 경쟁하는 혁신 기업으로 재평가된다.,기술 도용 의혹에 대한 반전 증명,통신법 개정과 매지션 개발,기술 도용 의혹에 대한 반전 증명,S03-A04,high
