sequence,visible_label,arc_id,arc_phase,concrete_event,tension_1_10,reward_1_10,hook_1_10,information_weight,action_weight,relationship_weight,emotion_weight,material_or_status_weight,pacing_note
204,"204화",S05-A01,"상위 Arc 결산·전환","김장욱을 무인도로 격리하고 5천 명 조직에 VR·데이터센터·비트코인 경제 과제를 던진다.",8,8,9,25,30,15,10,20,"도주자 처벌의 빠른 카타르시스 뒤 같은 화 중반부터 다음 대형 사업의 설계 정보가 밀려온다."
205,"205화",S05-A02,"착수·기술 증명","환상 VR과 태풍 2시간을 견딘 해저 데이터센터 컨테이너를 시험한다.",7,8,8,25,35,10,10,20,"감각 시연과 파괴 시험이 번갈아 나와 설명량을 실제 장면으로 상쇄한다."
206,"206화",S05-A02,"확장·감정 전환","위성으로 세계를 채우고 식물인간 데이비슨의 의식을 가상세계로 불러낸다.",7,9,9,25,20,25,20,10,"조직·데이터 설명 뒤 병실 실험으로 초점을 한 가족에게 좁혀 감정 긴장을 높인다."
207,"207화",S05-A02,"보상·교두보","데이비슨 부자가 네 시간 재회하고 롤북 회장이 세계 홍보를 약속한다.",5,10,8,15,15,35,25,10,"가족 보상이 충분히 머문 뒤 계약·베타 숫자가 다음 출시 속도를 다시 올린다."
208,"208화",S05-A03,"출시·상승","한국 출시 70만 동시접속과 가상 상점·임대·비트코인 경제가 가동된다.",7,9,8,20,25,10,10,35,"판매·동접·가격 숫자가 연달아 상승하고 중독 규제로 짧은 제동을 건다."
209,"209화",S05-A03,"글로벌 확장","3천만 동접과 세계 200곳 스캔 사업이 하루 200억 원을 만들고 조민우가 곡물 독점을 준비한다.",7,8,9,25,20,10,10,35,"주인공 성장 숫자와 적의 병행 계획을 교차해 독점의 밝음과 위협을 동시에 키운다."
210,"210화",S05-A03,"과금 절정·위기 전환","첫 랜덤박스 비행기 당첨과 일일 200억 원 매출 뒤 비트코인 공격이 시작된다.",7,9,10,15,25,15,15,30,"개인 행운 장면이 거대한 매출로 확대된 직후 통화 공격으로 상승을 끊는다."
211,"211화",S05-A04,"위기 대응","450만 비트코인 보유를 밝히고 세운 제품 결제·2억 이용자 광고로 가격을 방어한다.",8,8,8,30,20,20,10,20,"8% 급락의 긴장을 회의·정책·광고 단가 정보로 차분히 되받는다."
212,"212화",S05-A04,"성과 분배·능력 상승","직원 1만6천 명에게 현금·연봉 보상을 주고 8서클과 마탑 세 곳을 연다.",4,10,9,20,15,30,15,20,"수익 결산이 계좌 보상과 능력 개방으로 겹쳐 보상 밀도가 구간 최고 수준이다."
213,"213화",S05-A04,"설계·압박","위성 30기와 서울 도로 마법진으로 미사일 방어망을 한 달 안에 만든다.",8,7,9,35,30,15,5,15,"도시 전체 설계와 비용 설명이 많지만 골렘 도색차 50대의 실행 장면이 추진력을 준다."
214,"214화",S05-A04,"실전 절정·인정","북한 탄도미사일 세 발을 공간 포탈로 없애고 미국 설치 가격을 제시한다.",10,10,8,15,40,20,15,10,"실패 시 수도 피해인 순간 위기 뒤 언론 반전과 수십조 협상으로 즉시 결산한다."
215,"215화",S05-A05,"정치 확장","의원 30명과 지역 마탑·메타버스 노출로 윤경영 지지율을 45%까지 올린다.",7,8,8,30,20,25,10,15,"탄핵 월표시가 빠르게 흐르며 정치 숫자와 마탑 개장을 압축한다."
216,"216화",S05-A05,"선거 보상·새 위기","치킨·맥주 식탁에서 47% 출구조사를 축하하고 곡물 가뭄을 확인한다.",5,10,9,15,10,35,25,15,"선거 카타르시스를 생활 식탁에 머물게 한 뒤 65% 강수 감소로 다음 위기를 선명히 건다."
217,"217화",S05-A06,"협상 착수","고비사막을 1조 원과 5년 5조 원 투자 조건으로 확보한다.",7,8,8,30,20,20,5,25,"수입량·면적·투자액 계산이 협상 장면으로 이어져 사업 착수의 규모를 만든다."
218,"218화",S05-A06,"자원 획득·상승","미국 대통령과 15조 원 투자 거래로 물·흙 지팡이 보석을 얻는다.",6,9,8,25,25,20,10,20,"박물관 유물 거래와 30분 세공, 하루 비가 차례로 보여 설명을 보상한다."
219,"219화",S05-A06,"공정 절정·첫 생산","화산·지진·정화·성장진으로 16주 수확 가능한 고비 자동농장을 만든다.",8,9,8,20,40,10,10,20,"거대 화산의 위험을 나흘 공정으로 잘게 쪼개고 파종 30분으로 결산한다."
220,"220화",S05-A07,"생활 보상·새 장벽","전년도 가격 곡물로 한국 식탁을 지키지만 영하 30도 겨울이 농장을 멈춘다.",7,9,8,20,20,20,20,20,"정책·가격 설명을 소비자 식탁 반응으로 보상하고 즉시 겨울 장벽을 붙인다."
221,"221화",S05-A07,"가족 상승·농업 보상","20도 온실과 연 4~5회 수확, 황연우 청혼과 복지센터 20트럭 선물이 겹친다.",4,10,8,10,15,35,25,15,"욕실 난입 청혼 소식과 아이들의 기쁨이 기술 설명 사이에 따뜻한 호흡을 만든다."
222,"222화",S05-A07,"관계 절정·위기 씨앗","대통령 화환이 선 결혼식에서 형수 호칭을 굳히고 다음 날 기부품 강탈을 발견한다.",5,9,9,10,15,35,30,10,"결혼식의 인정과 가족 감정을 길게 보인 뒤 아이 피해로 정서를 급전환한다."
223,"223화",S05-A07,"응징·브리지","공급계약 해지와 폭력적 보복으로 김영한 무리를 고립시키고 재단을 생각한다.",8,7,7,15,40,20,20,5,"빠른 응징 카타르시스가 강하지만 미성년 폭력의 윤리 불편이 잔여 긴장으로 남는다."
224,"224화",S05-A08,"감정 기원·제도 착수","외할머니의 김치찌개 식탁에서 2조 원 교육재단과 대학을 구상한다.",3,10,7,15,10,40,30,5,"큰 사건보다 손·음식·잔소리에 머물며 재단의 감정적 이유를 확보한다."
225,"225화",S05-A08,"압박·반전","윤양진의 교비 전용을 드러내고 4천억 원에 대학 일괄 인수를 받아낸다.",8,8,8,25,30,20,10,15,"거절-자금 회수-골프장 붕괴-애원의 단계가 호칭·지위 추락을 가속한다."
226,"226화",S05-A08,"제도 보상·교두보","등록금 100% 무료와 2학년 세운 취업·3년 경력 인정으로 입시 열풍을 만든다.",4,10,7,25,10,25,15,25,"정책 정보가 많지만 가난한 고득점자의 선택과 코일의 총장직이 체감 보상을 준다."
227,"227화",S05-A09,"전쟁 선택","정부군 협상에서 모욕당한 뒤 조직력 없는 민병대를 택하고 조민우 반군과 맞선다.",8,6,9,30,25,15,15,15,"세 진영 정보와 두 협상 장면이 최약 세력 선택으로 수렴한다."
228,"228화",S05-A09,"세력 규합","구호소 10만 난민과 3천 포로를 음식·정신마법으로 한 군대로 묶는다.",8,8,9,15,25,30,25,5,"800명 총격을 슬립 한 번으로 끊고 카사바 수프 장면에 오래 머물러 관계 변화를 납득시킨다."
229,"229화",S05-A09,"전투 절정·전력 획득","트레일러 20대로 반군 전차 10대를 찌그러뜨리고 무피해 귀환한다.",10,10,9,10,55,15,15,5,"포탄-충돌-도주-환호가 연속되어 행동 비중이 가장 높고 다음 수도전 카드까지 남긴다."
230,"230화",S05-A10,"전쟁 결산·개발 착수","6시간 무부상 수도 탈환 뒤 개발권 서명과 480만 국민 식량 지원을 시작한다.",7,10,8,20,25,25,10,20,"전쟁은 짧게 결산하고 정체 공개·호칭 변화·트레일러 식량으로 국가 재건 장르로 전환한다."
