arc_id,arc_name,start_sequence,end_sequence,start_label,end_label,episode_count,main_characters,main_locations,concrete_premise,central_question,promise,pressure_escalation,mid_turn,concrete_payoff,relationship_change,status_or_ability_change,residual_cost,next_arc_bridge,boundary_signals,confidence
"S04-A01","63빌딩 수정구와 첫 마법사의 탑 완공",153,153,"153화","153화",1,"조도겸·가르틴·0호기·코일 박사·63빌딩 영향권 주민","63빌딩 옥상·63빌딩 60층 사무실·무인 골렘 공장","152화에서 산 63빌딩의 한 달 개조를 끝내 수정구와 투명 마법진을 가동하고 마탑 연구로 탈모 포션을 만든다.","첫 마법사의 탑이 건물 장식이 아니라 주민 선택·마나 회복·신약 연구를 실제로 바꿀 수 있는가?","서울 최고층 빌딩이 마법 연구소·사업 증폭기·생활 영향권으로 깨어나는 시각적 결산","차량 크기 수정구 운반과 탑 전체 각인을 도겸이 감당해야 하고 주문 해독에는 원래 여섯 달이 걸린다.","탑이 여의도 약 20만 명의 호감과 마법 효율을 높이고 0호기가 슈퍼컴퓨터·위성 연산으로 연구 기간을 석 달로 단축한다.","마탑 완공·코일의 수염 재생·90% 이상 탈모 포션과 일주일 지속 제형을 지급한다.","코일은 치료받는 석학에서 새로운 생활 문제를 함께 발견하는 연구 동료가 되고 주민은 무의식적으로 세운 제품을 선택한다.","조도겸은 63빌딩 소유자에서 영향권과 연구 보정을 가진 마탑주가 되고 마법의 탑 기능이 현실에 정착한다.","건설에 한 달과 큰 마나가 들었고 탈모 포션은 임상·승인·대량생산 전이다.","마탑이 만든 푸르름을 출시하고 그 영향권을 황연우 보궐선거에 사용한다.","로컬 범위 시작은 153화지만 실제 발단·개조 착수는 152화 마법사의 탑(1)에 있음; 상위 S03-A19와 병합 후보임; 153화에서 수정구 설치·탑 가동으로 이전 약속이 결산되고 종료 뒤 중심 목표가 푸르름·보궐선거로 교체됨","medium"
"S04-A02","푸르름 완판과 황연우의 첫 의석",154,156,"154화","156화",3,"조도겸·황연우·김건웅·이주영·박철우·세운제약 연구진·탈모 소비자","영등포 보궐선거구·여의도 마탑 영향권·세운제약·샤롯타워 공사장·개표 상황실","마탑 연구로 나온 푸르름과 호감 마법을 신약 시장·무소속 보궐선거에 동시에 투입한다.","탈모 치료의 체감 보상과 기업 참모 황연우의 정치 데뷔를 돈·표·새 마법으로 함께 결산할 수 있는가?","머리카락이 자라는 생활 기적과 첫 국회의원 측근이라는 권력 보상을 같은 성장 고리로 지급","이주영 사퇴 공작·황연우의 낮은 인지도·양당 조직표·샤롯 공사와 푸르름 승인·생산량 문제가 차례로 겹친다.","10만 병이 오후 세 시 전에 완판되고 실제 성인 시장이 약 800만 명임이 드러나 월 로열티가 3천억 원까지 뛴다.","여의도 마탑 영향권 표가 3천759표 열세를 뒤집어 황연우를 지역 최초 무소속 당선자로 만들고 푸르름 성과는 7서클 포켓으로 환전된다.","황연우는 돈을 쓰는 참모에서 검소한 옷을 입고 도겸의 첫 의석을 책임지는 정치인이 되며 김건웅은 그의 자산을 장기적으로 숨기는 관리자 역할을 맡는다.","세운제약은 국민적 반복구매 신약을 얻고 조도겸은 100만 톤 포켓, 국민중심당의 씨앗이 될 현역 의원 한 명을 얻는다.","황연우 개인 돈은 사실상 봉인되고 정치 이미지 조작 비용이 남으며 포켓은 아직 도겸이 직접 열어야 한다.","포켓을 전국 창고와 폐기물 처리에 연결하고 대지진용 최상급 마정석을 노린다.","시작: 153화의 마탑 완공 뒤 목표가 푸르름 승인·선거 출마로 전환됨; 중간: 첫날 완판과 어글리·참 선거전이 시장·정치 약속을 확대함; 종료: 황연우 당선·포켓 개방이라는 비가역 지위·능력 변화와 폐기물 3만 톤이라는 새 목표가 제시됨","high"
"S04-A03","아공간 물류·세운타워와 동일본 구조",157,160,"157화","160화",4,"조도겸·0호기·황연우·성경호·세운건설 직원·일본 해안 주민·비서실장","전국 위그 창고·샤롯타워와 세운타워 부지·일본 동쪽 해저·동일본 쓰나미 현장·63빌딩 앞","포켓을 반나절 배송망으로 만들기 위해 최상급 마정석을 확보하던 조도겸이 샤롯 상징을 사들이고 동일본 대지진에서는 사람을 직접 구한다.","재난으로 자원을 얻으려는 계산과 수만 명을 살릴 책임을 동시에 감당해 물류·부동산·평판을 모두 전진시킬 수 있는가?","아공간 생활 편의·경쟁사 랜드마크 탈취·대규모 구조 영웅이라는 서로 다른 크기의 보상을 인과로 잇는다.","폐기물 수작업과 마정석 부족에서 시작해 M9 경고 묵살·쓰나미·수만 개 마정석 소모와 일본 정부 항의까지 압력이 커진다.","M7.3 전진만으로 마정석 2만 개를 얻고 세운타워 공사가 샤롯의 1년 진도를 두 달 만에 넘긴 직후 본진이 확정된다.","포탈·골렘 구조로 20만 개 이상 최상급 마정석과 위그 주가 20%를 얻고 63빌딩 시민·직원들이 회장님 최고를 외친다.","비서실장은 사라진 회장을 꾸짖을 만큼 안전을 걱정하고 도겸은 다음부터 알리겠다고 약속한다; 일본 주민은 구조받지만 정부와는 적대로 바뀐다.","포켓은 전국 다중 접속 물류망이 되고 샤롯타워는 세운타워로 넘어가며 조도겸은 글로벌 재난 구조자로 인정된다.","대지진 구조에 거액과 마정석을 썼고 일본 정부는 불법 입국·밀수로 항의하며 포탈 여객은 제도·노조에 막힌다.","무상 선의가 막힌 경험을 계기로 자기 정치세력을 만들어 포탈 법을 통과시킨다.","시작: 156화 포켓 개방 뒤 157화가 직접 폐기물·다중 접속 실행으로 이어짐; 중간: 샤롯 부지 인수·산리쿠 전진으로 물류 Arc가 재난 딜레마로 확대됨; 종료: 본진 구조·마정석·공개 박수가 결산되고 일본 항의와 포탈 규제가 새 상대를 정치권으로 바꿈","high"
"S04-A04","윤정수의 첫말과 국민중심당 창당",161,163,"161화","163화",3,"조도겸·황연우·김운경·윤경영·윤정수·정치 낭인 40명·성경호·라칼·성욱","국민중심당 후보 모임·63빌딩 치료실·윤경영의 집·샤롯그룹·일본 협상선","포탈 여객을 막는 운송 이권을 넘기 위해 정치 낭인들을 통제하고 혼수 아들을 살려 국민적 원로 윤경영을 대표로 얻는다.","협박으로 모은 후보군을 국민이 믿을 정당으로 바꾸고 도겸의 사업을 제도적으로 지킬 수 있는가?","권력 장악의 냉혹함을 윤정수의 아버지라는 첫말과 윤경영의 웃음·충성으로 감정적으로 납득시킨다.","일본의 법적 공격·운송노조 반발·후보 배신 위험에 더해 윤경영은 아들 사고 죄책감으로 정계를 떠나 있다.","도겸이 정신치료·상급회복·재생을 세 시간 이어 윤정수를 깨우자 윤경영이 아이처럼 웃고 충성스러운 개가 되겠다고 말한다.","40명 후보의 복종·윤경영과 현역 7명·국민중심당 이름·교섭단체 가능성을 얻는다.","윤경영은 폐인처럼 은퇴한 아버지에서 아들을 살린 도겸의 정치 동맹으로, 황연우는 유일 의원에서 신당 창업 멤버로 바뀐다.","도겸은 한 명 로비스트 대신 공개 정당의 설계자가 되고 마인드 컨트롤 전 단계의 정치 조직 기반을 얻는다.","후보 복종은 마법과 약점에 기대며 정당은 아직 선거로 검증되지 않았다; 샤롯 승계와 라칼 범죄선이 성장한다.","미국 위그 성과로 새 마법을 열고 축구 구단주 지위에서 해외 인맥을 넓힌다.","시작: 재난 구조의 일본 반발·포탈 동결이 50석 필요라는 새 목표를 직접 만듦; 중간: 40명 악몽 통제에서 윤정수 치유로 관계 방식이 반전됨; 종료: 당명·현역 합류·일본 유상 협상 원칙이 확정되고 중심 장소가 축구·미국 사업으로 이동함","high"
"S04-A05","불턴 인수와 부상 선수 재생",164,166,"164화","166화",3,"조도겸·황연우·펄·홀딩크·이백영·우드 케이트·레들리 킹·아드레안·로텔리","63빌딩 치맥 자리·영국 불턴 구단 사무실·훈련장·경기장·세운 치료 공간","미국 위그와 정치 후보 통제로 성장한 도겸이 약체 불턴을 조건부로 인수해 몸·정신이 망가진 선수들을 되살린다.","돈만으로 강팀 선수를 못 사는 약체 구단을 마법 재활과 명장 운영으로 2년 안 챔피언스리그 팀으로 만들 수 있는가?","부채 팀을 사서 명장과 버려진 재능을 조립하는 구단 운영 대리만족과 선수 신체 회복을 지급","3천억 원 부채·14위 전력·직원 반발·스타의 약팀 기피에 선수들의 골절·연골 부재·파티·분노 문제가 겹친다.","홀딩크가 등장해 감독 경질 반발을 잠재우고 도겸은 비싼 S급 대신 결함 때문에 저평가된 S급 후보를 택한다.","이백영 조기 복귀·네 명 핵심 선수 회복·마법 훈련장과 2년 4위 조건의 구단 소유권을 얻는다.","홀딩크는 도겸이 준 선수들의 몸과 태도를 결과로 신뢰하고 선수들은 폐기 자산에서 팀 충성·재기 기회를 받은 핵심 전력으로 바뀐다.","도겸은 EPL 구단주가 되고 마인드 컨트롤을 정치인·선수 우선순위에 활용하는 7서클 운영자로 확장된다.","성과 실패 시 펄에게 2천억 원을 더 줘야 하고 경기 중 직접 마법을 금지했으므로 실제 팀 경기력이 검증돼야 한다.","불턴 승리가 중동 상류층 인정과 미국 사업 기회를 열다가 멕시코 카르텔과 충돌한다.","시작: 163화 신당 창당 뒤 미국 위그·7서클 보상과 EPL 시청이 구단 인수 욕망으로 전환됨; 중간: 조건부 인수·홀딩크 등장으로 조직 갈등이 정리됨; 종료: 선수 몸·품행·훈련 환경이 모두 바뀌며 다음 화 5대0이라는 공개 검증을 기다림","high"
"S04-A06","구단주 인맥에서 멕시코 터널 전쟁까지",167,169,"167화","169화",3,"조도겸·칼리안·가르시안·조민우·비서실장·불턴 선수단·0호기","칼리안의 중동 파티·엘패소와 멕시코 국경 터널·백두빌딩 치맥 자리·멕시코 카르텔 영토","불턴 5대0으로 구단주 대접과 사업을 얻은 도겸이 물류 계약을 가장한 납치에서 살아나 카르텔 터널을 부순다.","스포츠가 연 국제 인맥의 빛과 범죄 물류의 함정을 모두 통과해 더 큰 사업·마법으로 돌아올 수 있는가?","상류층 인정 직후 총탄을 막고 지하망을 붕괴시키는 액션, 불턴 3위와 새 안전 마법을 연속 보상","가르시안의 약물·총기·터널 감금에서 조민우의 포차 카르텔 살해·북부 확장까지 적 압력이 조직 규모로 커진다.","배리어 목걸이가 총탄을 막고 도겸이 어스 브레이크로 탈출한 뒤 사토시가 조민우임이 독자에게 공개된다.","국경 터널 파괴·불턴 3위·위그와 푸르름 월 1천300억 원 이상·리플렉션 자동차 기술을 얻는다.","비서실장은 회장이 말없이 사라지는 일을 더는 넘기지 않고 도겸은 사전 보고를 약속하며, 중동 부호들은 무시하던 도겸을 거래할 동료 구단주로 인정한다.","도겸은 납치 표적에서 카르텔 물류 파괴자로 바뀌고 조민우는 세운에서 밀려난 인물에서 대부 체계의 북부 정복자로 격상된다.","조민우의 정체를 도겸은 아직 모르고 카르텔 합종연횡은 계속되며 리플렉션 제품화가 남는다.","반사 자동차와 창립멤버 성과급을 거쳐 국민중심당 총선·조민우 남부 통일의 양대 세력 재편으로 이어진다.","시작: 166화 팀 구축이 5대0·사업 제안으로 공개 보상됨; 중간: 가르시안 납치가 스포츠 사업 분위기를 생존 액션으로 전환함; 종료: 터널 반격·불턴 3위·리플렉션 개방이 결산되고 다음 목표가 총선과 카르텔 통일로 명시됨","high"
"S04-A07","창립멤버 100억 식탁과 국민중심당 63석",170,172,"170화","172화",3,"조도겸·황연우·홍 사장·김건웅·윤경영·국민중심당 후보 62명·조민우·대부","자동차 충돌시험장·63빌딩 연말 식당·국민중심당 선거 현장·세운 사업장·멕시코 카르텔 전선","반사 자동차와 그룹 성과를 창립멤버 식탁에 결산한 도겸이 세운 직원·DK 건물·비리 자료를 동원해 국민중심당을 63석으로 만든다.","거대 양당의 조직·고정표를 넘어 신생당을 국회 캐스팅보트로 만들고 장기 정치 기반을 확보할 수 있는가?","100억 원씩 받은 창립팀의 생활 보상과 지역구 50·비례 13이라는 권력 숫자를 한 Arc에서 지급","62명 자금·당원 부족·유착 의심·양당 조직력에 조민우의 3배 카르텔 확장과 남부 전쟁이 병렬 압력으로 쌓인다.","세운 사내음악으로 4만 명이 입당하고 2만 DK 건물·스타벅스가 호감 접점이 되면서 당원 10만 명과 20% 지지 기반이 생긴다.","반사 차량 무상 실증·홍 사장이 자녀 집을 마련할 100억 원·국민중심당 총 63석과 여야 사이 결정권을 얻는다.","창립멤버는 성과를 현금과 식탁으로 나누는 가족 같은 전우가 되고 황연우·윤경영은 도겸의 비공식 측근에서 국가 의사결정 중심 정치인으로 올라선다.","국민중심당은 현역 소수 정당에서 63석 교섭 중심축으로, 세운은 차량 안전 옵션과 전국 정치 접점을 가진 그룹으로 바뀐다.","기업 자원과 마법에 기대는 정치의 윤리·유착 비용, 63석을 실제 정책으로 환전할 협상 비용이 남는다.","캐스팅보트로 영호남 포탈 시범법을 통과시키고 세계 전염병 치료 전선으로 확장한다.","시작: 리플렉션 실증·연말 성과급으로 이전 사업을 닫고 총선 비용이 새 목표로 등장함; 중간: 당원 10만·후보 호감도·양당 스캔들로 판세가 비가역 전환됨; 종료: 지역 50·비례 13이라는 선거 결산과 포탈 법이라는 새 쓰임이 제시됨","high"
"S04-A08","영호남 포탈과 안티 옥타 첫 완치",173,175,"173화","175화",3,"조도겸·황연우·윤경영·한소희·조민우·라칼·류들 제약·세운병원 환자·의료진","국회·63빌딩 VIP 라운지·멕시코 감염 현장·세운병원·류들 제약 계약장","63석으로 포탈 여객 시범법을 얻은 순간 조민우·라칼이 치사율 30% 바이러스를 풀자 도겸은 3조 원 구호와 포이즌 마법으로 치료제를 만든다.","범죄조직이 만든 세계적 전염병을 백신 독점보다 빠르고 체감되는 완치 장면으로 되돌릴 수 있는가?","정치 제도 승리에서 아버지라 부르는 가족 관계가 아니라 이번에는 죽어 가던 환자가 직접 일어나 절하는 의료 인정으로 규모를 키운다.","전국 포탈 반대·한소희 감정의 불확실성에서 바이러스 전국 확산·재생 무효·류들 하루 15조 계약·첫 임상 세포 손상으로 압력이 급상승한다.","첫 환자의 통증 원인을 세 시간 만에 타깃 정밀도로 수정해 두 번째 환자는 통증 없이 바이러스가 사라진다.","영호남 포탈 시범법·세운 매출 30% 상승·안티 옥타 완치 환자·KDCA와 FDA 긴급 승인 신청·의료진 보너스 약속을 얻는다.","한소희는 미래그룹 동맹에서 도겸을 기다리고 방문에 기뻐하는 감정 관계로 깊어지고 환자·의료진은 도겸을 돈 많은 회장이 아닌 생명을 살린 개발자로 인정한다.","도겸은 63석을 법으로 환전하는 정치 후원자이자 포이즌을 치료제로 바꾸는 글로벌 제약 혁신가가 된다.","치료제는 아직 대량생산 전이고 첫 환자의 고통·3조 선투자, 변이와 범죄조직의 추가 공격이 남는다.","국내 우선 공급과 미국 계약을 거쳐 방화된 생산망을 마법 공장으로 복구한다.","시작: 63석 결산 직후 포탈 시범법·한소희 관계 보상으로 새 국면을 열고 바이러스가 중심 문제로 급전환함; 중간: 3조 구호·포이즌 개방·90% 제형으로 해결 수단이 구체화됨; 종료: 환자 둘 완치·감사의 절·승인 신청 뒤 중심 목표가 대량생산과 변이로 바뀜","high"
"S04-A09","변이 공장 방화와 열 곳의 마법 공장",176,178,"176화","178화",3,"조도겸·0호기·황연우·존 데스타·조민우·라칼·세운제약 직원·각국 정부","세운제약 생산라인·백악관 협상선·미국 위탁공장·무인 골렘 공장","안티 옥타 승인 뒤 변이와 세계 수요가 폭증하고 미국 위탁공장까지 불타자 도겸은 마도사의 마법진으로 공장을 복제한다.","생명을 먼저 둔 공급 원칙과 마법 원료 비밀을 지키면서 테러보다 빠르게 월 수천만 병 생산을 회복할 수 있는가?","국내 정상화·정당 지지·미국 포탈 허가·3조 로열티를 지급한 뒤 30분 공장으로 위기를 더 큰 생산력으로 되갚는다.","5천만→1억5천만 감염·고수익 제품 생산 중단·미국 1천만 병 요구·기술 이전 압박·동시 방화가 단계적으로 높아진다.","3조 원 로열티로 열린 마도사의 마법진이 전 공정과 화학반응을 두 배로 만들고 기계 골렘 200기를 하룻밤에 생산한다.","국내 조기 정상화·국민중심당 지지율 5%·미국 포탈 승인·월 6천만 병이 가능한 공장 열 곳을 얻는다.","국민은 세운제약을 생명을 먼저 둔 기업으로 보고 미국 정부는 도겸을 필수 공급자로 받아들이며 황연우 정당은 그 선택의 정치적 수혜자가 된다.","도겸은 치료제 개발자에서 국가별 물량과 교통법을 거래하고 공장 자체를 마법으로 만드는 세계 공급망 설계자로 올라선다.","다른 상품 중단 손실·방화 피해·마법 공장 은폐 비용이 남고 일본의 뒤늦은 사업 제안이 새 협상 위험이다.","일본의 후쿠시마 오염수와 제염을 수십조 원 환경사업으로 바꾼다.","시작: 175화 임상 성공 뒤 176화가 승인·대량생산으로 직접 이어짐; 중간: 미국 포탈 거래와 3조 보상 직후 방화가 명확한 위기 전환점임; 종료: 공장 열 곳·월 6천만 병으로 생산 문제가 닫히고 일본 폐기물이라는 새 상품이 등장함","high"
"S04-A10","후쿠시마 75조 원 계약과 라칼의 죽음",179,181,"179화","181화",3,"조도겸·황연우·김건웅·일본 정부 관계자·후쿠시마 작업자·조민우·라칼·대부","후쿠시마 오염수 저장지·백두빌딩·일본 제염 협상장·골렘 작업구역·대부의 서재와 라칼 연구소","치료제 공급에서 우위를 얻은 도겸이 후쿠시마 오염수 100만 톤과 제염을 포켓·비·정화 골렘으로 처리해 총 75조 원 계약을 만든다.","국가가 계약을 뒤집어도 돈을 받아내고 사람이 못 할 방사능 노동을 지속 사업으로 바꿀 수 있는가?","반나절 20조 원과 55조 원 제염이라는 압도적 숫자를 빈국 치료제·정화 골렘·적의 후계 승급과 함께 보여 준다.","일본 여론 반발·지급 거부·방사능 안전·인간 1만 명 규모 노동에 조민우와 라칼의 대부 배신전이 병렬로 겹친다.","도겸이 레인으로 오염수를 하루 3천 톤까지 불리고 일본 배정 치료제를 빈국에 반값으로 돌리자 일본은 20조 원을 지급한다.","20조 오염수 처리·55조 제염·월 3천억 원 첫 작업과 새 7서클 기회를 얻고 조민우는 라칼을 죽여 동북아 권한을 차지한다.","일본은 도겸을 문제 삼던 정부에서 그의 날씨·처리 능력에 매달리는 구매자가 되고 조민우는 대부의 커피와 쓰다듬기를 받는 인정받은 후계로 변한다.","도겸은 국가급 폐기물 가격을 정하는 환경사업자, 조민우는 멕시코·동북아를 묶는 범죄 연합 관리자로 격상된다.","방사성 폐기물의 차원 폐기라는 은폐 위험과 장기 작업 책임, 조민우의 더 큰 범죄 자원이 남는다.","중동 왕실 우호를 잃어버린 보석 회수와 100조 원 사우디 도시 계약으로 확장한다.","시작: 178화 일본 제안이 즉시 오염수 가격 협상으로 구체화됨; 중간: 처리 완료 뒤 지급 거부와 레인 역공이 거래 우위를 뒤집음; 종료: 20조 지급·55조 계약·정화 골렘 투입이라는 폐쇄 신호와 라칼 사망·사우디 왕실이라는 새 인물·장소 전환이 발생함","high"
